Line Name,Omics Sample ID,Strain (ICE),Genotype,growth_rate,glucose_uptake_rates (mmol/gDCW * hr),3hpacid_secretion_rates (mmol/gDCW * hr),ethanol_secretion_rates (mmol/gDCW * hr),erythritol_secretion_rates (mmol/gDCW * hr),citricacid_secretion_rates (mmol/gDCW * hr)
SF ABF180_15_R2,SF ABF180_116,ABF_011244,"(βAl-3HP)+, pyc2+, Δald6a, ΔcoaT",,10.54852908,6.072312936,0.027147422,0.104734314,0
SF ABF180_15_R3,SF ABF180_117,ABF_011244,"(βAl-3HP)+, pyc2+, Δald6a, ΔcoaT",,10.37754647,5.659939396,0.023828018,0.157625452,0
SF ABF180_16_R1,SF ABF180_118,ABF_010216,"(βAl-3HP)++, pyc2++, Δald6a",,12.08533219,7.423696425,0,0.201800965,0.026021841
SF ABF180_16_R2,SF ABF180_119,ABF_010216,"(βAl-3HP)++, pyc2++, Δald6a",,12.89260498,8.418446196,0,0.224188176,0.030893183
SF ABF180_16_R3,SF ABF180_120,ABF_010216,"(βAl-3HP)++, pyc2++, Δald6a",,12.75718927,7.884584446,0,0.240547177,0.029275461
SF ABF180_17_R1,SF ABF180_121,ABF_011245,"(βAl-3HP)++, pyc2++, Δald6a+NeoR",,11.77710236,8.259588489,0.013067766,0.22123975,0.022715735
SF ABF180_17_R2,SF ABF180_122,ABF_011245,"(βAl-3HP)++, pyc2++, Δald6a+NeoR",,12.67011971,9.218919374,0,0.232229573,0.032064701
SF ABF180_17_R3,SF ABF180_123,ABF_011245,"(βAl-3HP)++, pyc2++, Δald6a+NeoR",,12.83964302,8.840336776,0,0.221040972,0.031830696
SF ABF180_18_R1,SF ABF180_124,ABF_011249,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C5 ",,11.4869788,6.806020831,0,0.240463643,0.030987285
SF ABF180_18_R2,SF ABF180_125,ABF_011249,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C5 ",,9.937150774,5.892278304,0,0.222603649,0.023360475
SF ABF180_18_R3,SF ABF180_126,ABF_011249,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C5 ",,9.970051653,6.107800453,0,0.226090692,0.023581964
SF ABF180_19_R1,SF ABF180_127,ABF_011250,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C7",,10.55139934,6.668649269,0.01366893,0.228037443,0.033620106
SF ABF180_19_R2,SF ABF180_128,ABF_011250,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C7",,8.082331162,4.543487411,0.01532026,0.184407117,0.022860657
SF ABF180_19_R3,SF ABF180_129,ABF_011250,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C7",,10.39087161,6.588551406,0.018102351,0.226019399,0.03013739
SF ABF180_20_R1,SF ABF180_130,ABF_011253,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3",,10.94042228,7.111721737,0.034448492,0.225518577,0.026406736
SF ABF180_20_R2,SF ABF180_131,ABF_011253,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3",,11.7188986,7.459948298,0.021355443,0.216755615,0.031680169
SF ABF180_20_R3,SF ABF180_132,ABF_011253,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3",,10.84881803,6.570228576,0.022479601,0.206306235,0.031641654
SF ABF180_21_R1,SF ABF180_133,ABF_011254,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3, ΔcoaT",,11.30997118,7.431053153,0.027888568,0.245145304,0.029403773
SF ABF180_21_R2,SF ABF180_134,ABF_011254,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3, ΔcoaT",,12.09229992,7.790502997,0.020983299,0.241060014,0.035700622
SF ABF180_21_R3,SF ABF180_135,ABF_011254,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3, ΔcoaT",,11.49167524,7.638185678,0.029329555,0.234835494,0.035209542
SF ABF180_22_R1,SF ABF180_136,ABF_011255,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-4",,11.76284274,7.095791101,0.037432261,0.22348657,0.0326526
SF ABF180_22_R2,SF ABF180_137,ABF_011255,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-4",,12.24526434,7.826372897,0.031021189,0.2501532,0.035242899
SF ABF180_22_R3,SF ABF180_138,ABF_011255,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-4",,13.20379662,8.540899372,0.034462098,0.266341219,0.032970282
SF ABF180_23_R1,SF ABF180_139,ABF_011256,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-10",,9.416110353,3.309779581,0.464695672,0.13759452,0.017277855
SF ABF180_23_R2,SF ABF180_140,ABF_011256,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-10",,9.30472566,3.473775572,0.459607136,0.1407737,0.015345448
SF ABF180_23_R3,SF ABF180_141,ABF_011256,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-10",,9.476563724,3.401734624,0.494154552,0.13449075,0.01553802
SF ABF180_24_R1,SF ABF180_142,ABF_010214,"(βAl-3HP)++, pyc2+, Δald6a",,11.03893125,7.001735046,0.011610213,0.168441597,0.022969836
SF ABF180_24_R2,SF ABF180_143,ABF_010214,"(βAl-3HP)++, pyc2+, Δald6a",,10.50442201,6.718136945,0.011280682,0.194238581,0.022774
SF ABF180_24_R3,SF ABF180_144,ABF_010214,"(βAl-3HP)++, pyc2+, Δald6a",,11.6359337,7.460939623,0,0.181170838,0.023656097
