,SF ABF180_1_R1,SF ABF180_1_R2,SF ABF180_1_R3,SF ABF180_2_R1,SF ABF180_2_R2,SF ABF180_2_R3,SF ABF180_3_R1,SF ABF180_3_R2,SF ABF180_3_R3,SF ABF180_4_R1,SF ABF180_4_R2,SF ABF180_4_R3,SF ABF180_5_R1,SF ABF180_5_R2,SF ABF180_5_R3,SF ABF180_6_R1,SF ABF180_6_R2,SF ABF180_6_R3,SF ABF180_7_R1,SF ABF180_7_R2,SF ABF180_7_R3,SF ABF180_8_R1,SF ABF180_8_R2,SF ABF180_8_R3,SF ABF180_9_R1,SF ABF180_9_R2,SF ABF180_9_R3,SF ABF180_10_R1,SF ABF180_10_R2,SF ABF180_10_R3,SF ABF180_11_R1,SF ABF180_11_R2,SF ABF180_11_R3,SF ABF180_12_R1,SF ABF180_12_R2,SF ABF180_12_R3,SF ABF180_13_R1,SF ABF180_13_R2,SF ABF180_13_R3,SF ABF180_14_R1,SF ABF180_14_R2,SF ABF180_14_R3,SF ABF180_15_R1,SF ABF180_15_R2,SF ABF180_15_R3,SF ABF180_16_R1,SF ABF180_16_R2,SF ABF180_16_R3,SF ABF180_17_R1,SF ABF180_17_R2,SF ABF180_17_R3,SF ABF180_18_R1,SF ABF180_18_R2,SF ABF180_18_R3,SF ABF180_19_R1,SF ABF180_19_R2,SF ABF180_19_R3,SF ABF180_20_R1,SF ABF180_20_R2,SF ABF180_20_R3,SF ABF180_21_R1,SF ABF180_21_R2,SF ABF180_21_R3,SF ABF180_22_R1,SF ABF180_22_R2,SF ABF180_22_R3,SF ABF180_23_R1,SF ABF180_23_R2,SF ABF180_23_R3,SF ABF180_24_R1,SF ABF180_24_R2,SF ABF180_24_R3
GLCe,5.602843810604851,5.578157209208421,5.521172851139617,5.598015502210337,5.655048568936777,5.660301415539437,5.660055889177737,5.6541280430775265,5.659476983086006,5.73071580999921,5.625612119939622,5.623909775847803,5.834277445207286,5.818467324861922,5.864506802601144,5.611348611022329,5.679532528764813,5.639466604794381,5.55662537851188,5.514838602472761,5.518394846197999,5.525967908558833,5.5589519187916645,5.5209052247197965,5.611058320353938,5.526165867997211,5.584996227005398,5.545983176416419,5.657121373161926,5.538364796550188,5.680528395212436,5.741059358302091,5.762336761262733,5.772632991875979,5.799873655779822,5.675500033651542,5.588813016160335,5.5565177020211935,5.492679280483787,5.60313836510907,5.544214036557133,5.616842737613085,5.601291844974383,5.50739893300373,5.535750826730591,5.469336631886457,5.498063290695503,5.538307547328174,5.5375658282489795,5.584056296635435,5.558656266315371,5.715167419344688,5.710016544013918,5.7108343738523,5.810258631652581,5.750755278640949,5.73243734678685,5.679861265407942,5.720597924762252,5.727412437528035,5.6941614795416475,5.674242681139417,5.703338021501244,5.667872144872271,5.699491078342099,5.733902134348024,5.775494583203709,5.7539986493536865,5.8174971451691295,5.574351971623571,5.55046684614887,5.555335424132811
3hpp_e,-6.643856189774724,-6.643856189774724,-6.643856189774724,3.0744627519364727,3.107756366539184,3.04722228173342,3.9321172663881487,3.957350944445551,3.9323878162037857,4.007512680408525,4.067338962422157,4.046737318935804,3.7431783738533766,3.8461898961494616,3.796123751439291,3.9623939123984195,3.9783667000792367,3.9974126589577406,4.266345987275662,4.286359960449585,4.240320431138416,4.236474960833978,4.162941632603248,4.105309654440109,4.1249011811901335,4.110550693436344,4.140438522682646,4.2227455534800225,4.209223319487958,4.182441655723992,4.001832262423479,4.025778104821693,3.9134325115873168,3.8915647687205936,4.004331497025476,3.9803619584360628,4.171895413331963,4.200964681419407,4.236993075589602,4.215987667162412,4.220440031426952,4.2675048777901585,4.20301675203004,4.184791242124141,4.233900445534595,4.498887436458716,4.519540033684306,4.45837062321665,4.402431161407339,4.444965930035343,4.4444132238473255,4.143266200742756,4.220536536553113,4.199738655366915,4.11259477096809,4.1142804753344775,4.060320111539678,4.167770562285976,4.205515082119041,4.160634087594865,4.173334222916052,4.25147713998995,4.1908094777438,4.03676555825925,4.0667894447077595,4.067863341214846,3.5191946026037866,3.4597644492032518,3.2543808314472082,4.346492965192782,4.419053230834995,4.463059879113234
ETHe,1.6018869741172137,1.8238925294796076,1.830782685759355,1.1971757831056968,1.2294672557876238,1.1952405687450915,-0.6772937002708276,-0.3359208248314152,-0.3365606099553754,-0.6265340042738574,-0.25447065549731906,-0.19379996815279363,0.1276680393439385,-0.12393428800776624,-0.028711309890397618,-0.752138281025048,-0.7921653944433192,-0.5637638952581098,-0.565075372846475,-1.0009513959123437,-0.6277080610203846,-0.6993422226761878,-0.31386271239521724,0.12383613843604596,-0.14535353488686598,0.12057682797744287,-0.29710952559548043,-6.643856189774724,-6.643856189774724,-6.643856189774724,-0.8752487938463132,-0.6799299188126792,-0.5911766672366452,-0.47885758198832673,-0.8549413964379327,-0.6398962580899114,-0.62262736787147,-0.44224727705602385,-0.876411250342164,-0.8113799024198057,-0.8153874700618435,-1.0509991852476355,-0.5492303788457272,-0.5315416542070723,-0.7075946195019467,-6.643856189774724,-6.643856189774724,-6.643856189774724,-1.8236889604757667,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-1.5978967651294043,-1.0392345505898102,-1.250565756933544,-0.383717695905863,-1.0968716992678154,-0.9045949559508135,-0.7493668891378179,-1.1563427885399438,-0.6748645359307989,-0.28919231022684916,-0.6442459729652625,-0.6787126039564633,0.7764149385337064,0.9289366428263258,1.1074729453021581,-1.8120754143091775,-1.8790016594229322,-6.643856189774724
EOLe,-0.8049465902594805,-0.9572479757288676,-0.9984180724593655,-1.2057503333731714,-1.1386610106244697,-1.1808350656184756,-1.0852661056317199,-1.0517869158237232,-1.1839980063297617,-1.0668361026608222,-0.8403498778162618,-0.9805582637558262,-1.3105793539996353,-1.3162470245912283,-1.42396640529213,-0.7427795905564549,-0.8328834002121137,-0.9010417354405181,-0.9773119708465576,-0.9411033632349352,-0.9820590200565812,-0.8613718879668872,-1.0024735279837587,-1.0491628181687478,-0.9452445807037358,-1.0180403867083063,-0.905069380578825,-0.9845637550109292,-1.0249846288983147,-1.0790965745353012,-1.0190670565690534,-0.913874494754289,-0.49841171909309273,-1.056785889193514,-0.8834057279861937,-0.9828099840460831,-0.97955862616211,-0.979808470632582,-0.9169809856519109,-0.9888318099444743,-0.983060392267314,-0.8913740145173417,-0.9994308680915225,-1.0371530667886673,-0.9343083418635945,-0.31417771569761366,-0.36092239170911017,-0.394002711716238,-0.4660255298242003,-0.32350139084469676,-0.36891710554287044,-0.3071067242240795,-0.33544117211253666,-0.32270890785521184,-0.25114955805144656,-0.20777873172772565,-0.23988474998922565,-0.2727215558105827,-0.09563551924127589,-0.14101622868754216,-0.1602836278716806,-0.05835130011780327,-0.1600004931267943,-0.1871495084672922,-0.23227461523871726,-0.16752240245476724,-0.4533066068694411,-0.47304265165649184,-0.5953817347291287,-0.6134881996337657,-0.5213225088958626,-0.4660255298242003
CITe,-1.584156245097837,-1.9210840212867215,-1.8850724919582253,-2.2019935114391807,-2.5341779548125465,-2.668685080427015,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-2.5444888945717294,-2.9674636909172856,-2.7490224235517213,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-3.2356856107229417,-3.128759539863384,-3.22973080711942,-3.4781324966455203,-2.9468024242419486,-3.1410011914148193,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-2.616472952548883,-2.351093100014121,-2.4124972274644074,-2.6865176468902434,-2.4260509338382015,-2.507997620028967,-2.5246690495521364,-2.3071666725763342,-2.4301420007456938,-2.6305262575245654,-2.4710010866860475,-2.263929633431778,-2.328008178902007,-2.400406815914454,-2.5533858778952574,-2.3798190461701108,-2.1088794624933165,-2.5363812466629723,-2.2959242157188715,-2.528318907552023,-2.3459311005984476,-2.6783845998667264,-2.9082478811731085,-2.8679195956290338,-2.6227019716173974,-2.6313110250626957,-2.6566516719768027
