Line Name,Omics Sample ID,Strain (ICE),Genotype,growth_rate,glucose_uptake_rates (mmol/gDCW * hr),3hpacid_secretion_rates (mmol/gDCW * hr),ethanol_uptake_rates (mmol/gDCW * hr),erythritol_secretion_rates (mmol/gDCW * hr),citricacid_uptake_rates (mmol/gDCW * hr)
SF ABF180_13_R2,SF ABF180_110,ABF_011242,"(βAl-3HP)+, pyc2+, Δald6a, ΔscotA",,6.99678342,4.606924326,0.664612934,0.064560594,0
SF ABF180_13_R3,SF ABF180_111,ABF_011242,"(βAl-3HP)+, pyc2+, Δald6a, ΔscotA",,6.495488584,4.403544391,0.474810023,0.052869523,0
SF ABF180_14_R1,SF ABF180_112,ABF_011243,"(βAl-3HP)+, pyc2+, Δald6a, Δech3",,7.015404553,4.914541604,0.533149465,0.050740464,0
SF ABF180_14_R2,SF ABF180_113,ABF_011243,"(βAl-3HP)+, pyc2+, Δald6a, Δech3",,6.728054459,4.765165373,0.54067689,0.050215364,0
SF ABF180_14_R3,SF ABF180_114,ABF_011243,"(βAl-3HP)+, pyc2+, Δald6a, Δech3",,6.923895229,4.218103244,0.41932942,0.040135098,0
SF ABF180_15_R1,SF ABF180_115,ABF_011244,"(βAl-3HP)+, pyc2+, Δald6a, ΔcoaT",,6.884271568,4.869609414,0.594300908,0.057609409,0
SF ABF180_15_R2,SF ABF180_116,ABF_011244,"(βAl-3HP)+, pyc2+, Δald6a, ΔcoaT",,6.44209057,5.454997122,0.643553597,0.073514195,0
SF ABF180_15_R3,SF ABF180_117,ABF_011244,"(βAl-3HP)+, pyc2+, Δald6a, ΔcoaT",,6.383186231,4.154852744,0.564864199,0.192632248,0
SF ABF180_16_R1,SF ABF180_118,ABF_010216,"(βAl-3HP)++, pyc2++, Δald6a",,7.042633785,4.724772872,0,0.145796723,0.021111359
SF ABF180_16_R2,SF ABF180_119,ABF_010216,"(βAl-3HP)++, pyc2++, Δald6a",,7.500698064,5.887429819,0,0.185497958,0.019576482
SF ABF180_16_R3,SF ABF180_120,ABF_010216,"(βAl-3HP)++, pyc2++, Δald6a",,7.777794767,5.2987868,0,0.237820562,0.018503672
SF ABF180_17_R1,SF ABF180_121,ABF_011245,"(βAl-3HP)++, pyc2++, Δald6a+NeoR",,5.752800706,7.027800964,0.309782921,0.213660926,0.012895644
SF ABF180_17_R2,SF ABF180_122,ABF_011245,"(βAl-3HP)++, pyc2++, Δald6a+NeoR",,6.277123454,7.689744742,0,0.170017913,0.021938644
SF ABF180_17_R3,SF ABF180_123,ABF_011245,"(βAl-3HP)++, pyc2++, Δald6a+NeoR",,7.919636216,7.655070844,0,0.178373819,0.027973353
SF ABF180_18_R1,SF ABF180_124,ABF_011249,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C5 ",,8.194035357,6.268523472,0,0.242790974,0.03073416
SF ABF180_18_R2,SF ABF180_125,ABF_011249,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C5 ",,6.687296938,4.729898042,0,0.246503629,0.010092788
SF ABF180_18_R3,SF ABF180_126,ABF_011249,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C5 ",,6.625727666,5.328186361,0,0.249820107,0.014419862
SF ABF180_19_R1,SF ABF180_127,ABF_011250,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C7",,8.06310844,6.756155098,0.324034039,0.21890434,0.04328644
SF ABF180_19_R2,SF ABF180_128,ABF_011250,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C7",,5.918047218,3.881908143,0.363180281,0.188225164,0.022638415
SF ABF180_19_R3,SF ABF180_129,ABF_011250,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C7",,6.169027171,6.583398717,0.4291322,0.199065272,0.02026167
SF ABF180_20_R1,SF ABF180_130,ABF_011253,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3",,6.325003356,6.785046758,0.816631901,0.194668737,0.011775104
SF ABF180_20_R2,SF ABF180_131,ABF_011253,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3",,8.203228098,7.082465445,0.506249613,0.113743219,0.026442031
SF ABF180_20_R3,SF ABF180_132,ABF_011253,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3",,7.812432795,6.123615244,0.532898784,0.134640226,0.035752855
SF ABF180_21_R1,SF ABF180_133,ABF_011254,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3, ΔcoaT",,6.42244776,7.021286473,0.661123105,0.194687877,0.018809625
SF ABF180_21_R2,SF ABF180_134,ABF_011254,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3, ΔcoaT",,8.077409451,7.237711898,0.497427615,0.152185281,0.022418722
SF ABF180_21_R3,SF ABF180_135,ABF_011254,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3, ΔcoaT",,7.027405652,7.422391971,0.695282991,0.169762805,0.039319569
SF ABF180_22_R1,SF ABF180_136,ABF_011255,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-4",,7.892177885,7.528656673,0.887364784,0.160244478,0.025145883
SF ABF180_22_R2,SF ABF180_137,ABF_011255,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-4",,8.101941966,8.476177086,0.735384665,0.214660808,0.037399459
SF ABF180_22_R3,SF ABF180_138,ABF_011255,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-4",,7.861379562,8.722019054,0.816954436,0.176792988,0.016514911
SF ABF180_23_R1,SF ABF180_139,ABF_011256,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-10",,6.555255337,2.309272973,0.56987233,0.067356931,0.007506969
SF ABF180_23_R2,SF ABF180_140,ABF_011256,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-10",,6.208912821,3.006093333,0.760631533,0.081345353,0.00853641
SF ABF180_23_R3,SF ABF180_141,ABF_011256,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-10",,7.140618602,3.541622187,0.943189747,0.086070549,0.007875641
SF ABF180_24_R1,SF ABF180_142,ABF_010214,"(βAl-3HP)++, pyc2+, Δald6a",,7.061113196,5.959641992,0.275230335,0.15153138,0.0168721
SF ABF180_24_R2,SF ABF180_143,ABF_010214,"(βAl-3HP)++, pyc2+, Δald6a",,5.101781322,4.421620513,0.26741851,0.192300161,0.015855601
SF ABF180_24_R3,SF ABF180_144,ABF_010214,"(βAl-3HP)++, pyc2+, Δald6a",,6.531195262,5.022925785,0,0.127322196,0.016068604
