rxn,SF ABF180_1_R1,SF ABF180_1_R2,SF ABF180_1_R3,SF ABF180_2_R1,SF ABF180_2_R2,SF ABF180_2_R3,SF ABF180_3_R1,SF ABF180_3_R2,SF ABF180_3_R3,SF ABF180_4_R1,SF ABF180_4_R2,SF ABF180_4_R3,SF ABF180_5_R1,SF ABF180_5_R2,SF ABF180_5_R3,SF ABF180_6_R1,SF ABF180_6_R2,SF ABF180_6_R3,SF ABF180_7_R1,SF ABF180_7_R2,SF ABF180_7_R3,SF ABF180_8_R1,SF ABF180_8_R2,SF ABF180_8_R3,SF ABF180_9_R1,SF ABF180_9_R2,SF ABF180_9_R3,SF ABF180_10_R1,SF ABF180_10_R2,SF ABF180_10_R3,SF ABF180_11_R1,SF ABF180_11_R2,SF ABF180_11_R3,SF ABF180_12_R1,SF ABF180_12_R2,SF ABF180_12_R3,SF ABF180_13_R1,SF ABF180_13_R2,SF ABF180_13_R3,SF ABF180_14_R1,SF ABF180_14_R2,SF ABF180_14_R3,SF ABF180_15_R1,SF ABF180_15_R2,SF ABF180_15_R3,SF ABF180_16_R1,SF ABF180_16_R2,SF ABF180_16_R3,SF ABF180_17_R1,SF ABF180_17_R2,SF ABF180_17_R3,SF ABF180_18_R1,SF ABF180_18_R2,SF ABF180_18_R3,SF ABF180_19_R1,SF ABF180_19_R2,SF ABF180_19_R3,SF ABF180_20_R1,SF ABF180_20_R2,SF ABF180_20_R3,SF ABF180_21_R1,SF ABF180_21_R2,SF ABF180_21_R3,SF ABF180_22_R1,SF ABF180_22_R2,SF ABF180_22_R3,SF ABF180_23_R1,SF ABF180_23_R2,SF ABF180_23_R3,SF ABF180_24_R1,SF ABF180_24_R2,SF ABF180_24_R3
r28,0.9403194862178338,1.1327660016907306,1.1123430398101675,1.0378114932399864,1.042677225501324,0.9868238113922913,0.9695524304907415,1.0804534940373505,1.025165863543027,0.9870268264179953,1.0574803096894805,1.0667242752822013,0.9701270818522317,0.9202646837086711,0.9203083626837943,0.8781792895805082,0.9136043706850573,0.903651390717973,1.0336553871927618,1.0199671167297115,1.0085541264406817,0.951837892298225,1.0858516882891345,1.0947259271985494,0.9167650688880072,0.9101625919528797,0.9197958972202438,1.1864665035530921,1.0200214129580172,1.0216745274413306,1.1041919156347348,0.9303009699420824,1.0067518774816888,0.9509825769735197,0.9052505872012018,0.9155721744390869,0.9837458394094533,0.9541710805784615,1.218321777813706,0.8564983180922794,1.0521950292284783,1.003207980112644,0.9636536064303795,1.0659349164196352,0.9778641793446584,1.0932391134439563,1.0253456546969657,1.0481862157894295,0.9716044016196158,1.0,1.1539499089781857,0.9059270817561335,0.9236305497646424,0.9708540279617479,1.002101546737979,0.9664935485270603,0.9539064249029993,0.8943037101306877,0.9369574451058997,0.9532737809965943,1.049584644282058,0.962454021739424,0.9571012291262223,0.8873845566765756,0.8862494426548639,0.9362268954617932,0.8165554439015432,0.8699304637064116,0.9406949700184224,0.8843938477269176,0.9551631132502432,1.023929320186631
r29a,0.8295129205994294,0.9623822211532836,0.9067550852782063,1.078431555027571,1.059840368157106,1.004553670437175,0.9215969548590317,0.921804364426231,0.9122606197901355,0.9102236319238737,0.9427141991152205,0.9081544395687855,0.9425198218881689,0.8583882667898745,0.9233769035317313,0.7745410791645706,0.7441589152272063,0.7790796801614798,0.8514491907550512,0.9012159662322521,0.8747504930912617,0.8709388108983509,0.942963133580375,0.9850199731596574,0.8658762227690205,0.8315939192828284,0.8795815559409655,1.0471493546610662,0.8757852980931029,0.9519433464799626,0.8647935214054896,0.7316597729015188,0.7700256279685472,0.7813926641470488,0.7658824528154313,0.7961135653286578,0.8442051681895054,0.8634623432880609,0.9165143318157248,0.775038274755017,0.8528111864231629,0.807184634221573,0.8164953164381209,0.8577583109858143,0.8707657574466902,0.9594192503037761,1.0236756209914892,0.9936110106684092,0.9967740174350687,1.0,1.00559993036225,0.8599476530281283,0.8928862031558384,0.8726110587952609,0.9791582957014924,0.9296483102161773,0.9707014309190372,0.9235884751993708,0.9302885691166015,0.9404327391373484,1.0448700000880426,0.9691350822336732,0.9499818455431507,0.8428128379040115,0.8099722286515918,1.000477510931472,0.8299716869465887,0.833739550103996,0.8970091651358518,0.9033817294014215,0.8680870977018633,0.881439000502054
r42,1.3419685401362815,1.4303890143976432,1.4027326776136442,1.1188130263092226,1.0835711560354309,1.0422828249620524,0.8362621303720531,0.893273190876758,0.8007709794380055,0.8219163639308561,0.8761881486778514,0.9071463360999917,0.9597026371818704,0.8802304421380376,0.8509011796784849,0.8255055884623631,0.8697384877052381,0.8136673512781881,0.8098522075939738,0.7852549200898497,0.8219124028563444,0.7788802350686965,0.842995612825204,0.8898236775451185,0.8539474576047363,0.8140148438826178,0.8419749720604025,0.8245998202397484,0.7613070409811624,0.7943985528147711,0.8740856962340725,0.8665951023248532,0.9217151627943586,0.8734120637644377,0.8988928236706735,0.894603519012529,0.7637379514938148,0.7727731031093327,0.7651278620481775,0.771741474938217,0.8265549008634039,0.7623003475066525,0.7947693283751035,0.8623205441442704,0.8202252101529393,0.8713066038725583,0.9291206580602549,0.8972624330197979,0.9488196813504998,1.0,0.9962395980370672,1.015908216432028,0.9541270369129561,1.0298725822804333,1.0314036463812877,1.0009372766115956,1.0275164289834244,0.993851289699235,0.9724706236332068,1.0188302867304895,1.0748568207626676,1.0015257777930997,0.9741315434699153,1.0093251178606015,0.926221081480659,1.0418652822209191,1.1402907493533183,1.1621153203831371,1.2885442665315454,0.9275943919462267,0.9472320354144022,0.8490094155896027
r43,1.3419685401362815,1.4303890143976432,1.4027326776136442,1.1188130263092226,1.0835711560354309,1.0422828249620524,0.8362621303720531,0.893273190876758,0.8007709794380055,0.8219163639308561,0.8761881486778514,0.9071463360999917,0.9597026371818704,0.8802304421380376,0.8509011796784849,0.8255055884623631,0.8697384877052381,0.8136673512781881,0.8098522075939738,0.7852549200898497,0.8219124028563444,0.7788802350686965,0.842995612825204,0.8898236775451185,0.8539474576047363,0.8140148438826178,0.8419749720604025,0.8245998202397484,0.7613070409811624,0.7943985528147711,0.8740856962340725,0.8665951023248532,0.9217151627943586,0.8734120637644377,0.8988928236706735,0.894603519012529,0.7637379514938148,0.7727731031093327,0.7651278620481775,0.771741474938217,0.8265549008634039,0.7623003475066525,0.7947693283751035,0.8623205441442704,0.8202252101529393,0.8713066038725583,0.9291206580602549,0.8972624330197979,0.9488196813504998,1.0,0.9962395980370672,1.015908216432028,0.9541270369129561,1.0298725822804333,1.0314036463812877,1.0009372766115956,1.0275164289834244,0.993851289699235,0.9724706236332068,1.0188302867304895,1.0748568207626676,1.0015257777930997,0.9741315434699153,1.0093251178606015,0.926221081480659,1.0418652822209191,1.1402907493533183,1.1621153203831371,1.2885442665315454,0.9275943919462267,0.9472320354144022,0.8490094155896027
r44,1.1982089916584802,1.3325550033567888,1.2229306782321496,0.954590375318075,0.9548776645166257,0.9376048151365415,0.8469097770049538,0.9735768600633717,0.8947726650094483,0.9171425736758937,0.8875776436265133,0.935478438193753,1.0210721749532092,0.9517880097640072,0.9447545980580521,0.8309494483994814,0.8671918759136265,0.8632020842554969,0.914322941970388,0.8582460540956072,0.9164662774348138,0.8348966756687453,0.9153143672791224,0.9294023821861012,0.8675446598581507,0.8047329441776956,0.8445173231409298,0.9709254858593706,0.8661146645563675,0.8932567915085392,1.1032160615668787,1.0056534196104454,1.0369484038624799,1.0222247111509466,1.0601355294455945,1.015197701176325,0.8392479230085179,0.8330129259527242,0.8545485981961384,0.7906032582159823,0.8667237769062446,0.8453527090823286,0.8368549866350378,0.8443798408597365,0.8272681149605225,0.9518000778095189,0.9595048104225409,0.94693859715991,0.8664448118173151,1.0,1.1078771123193651,1.0011739764694358,0.9732614831681311,0.9671613411547987,0.9287415569517768,1.0271461651452092,1.0322020096029547,0.9640784050563663,0.9486571008694046,1.0410416501127406,1.1351668713794667,1.022610078395022,0.9771255495768012,0.9994165234546444,0.9766984440645519,1.061557023148807,1.0857364583638316,1.07013477870143,1.182883532077629,0.9417480824027995,0.8861005861936312,0.9084727522889642
r47,0.8189127852373511,0.9520501334793479,0.9665936987256084,1.7084941674528185,1.6052956359337818,1.613590076889009,0.6354544288503754,0.7604523173057028,0.5588711623249485,0.5790855984209544,0.7209648086777917,0.7015229713521278,0.5896573226034448,0.7512289447900676,0.7711896762365543,1.0210905227282243,1.0436997739270937,1.1164466653165481,0.7023292793427065,0.6664485503547913,0.6881359149378052,0.6944560892517986,0.6971819142023677,0.8002406719788039,0.9400450908948395,0.8144102108135723,0.8552247127998361,0.5882687272798655,0.5317668345226041,0.49239808086805353,0.6424077834088847,0.7456841362277448,0.6154735640522048,0.5711341201674253,0.7427349007936566,0.6244944271398873,0.6227945771401402,0.6823988094601356,0.5631348621823866,0.9490525708027537,1.0441563078629081,0.9878061123882376,0.9285205042479374,1.019129118049535,0.9052439231871572,0.7847135843255503,0.6564314981238994,0.6564303988453253,0.9154972958616725,1.0,0.9519778698780378,0.547297204542484,0.5583794976134232,0.6167365173494913,0.6149597248603549,0.6505550222295198,0.6346861180174355,0.6232063681172164,0.5872153077931881,0.5419889334929058,0.7429670160006884,0.7114950025562463,0.7770049744098482,0.5789106740632967,0.6229089194635488,0.6029694642874612,0.9514581010165848,1.069434230622988,1.085961941890417,0.8210075010795145,0.6708125320079337,0.7323718839594245
r56a,1.3300821785651882,1.503529921111283,1.5061136721114807,1.2702387373288646,1.1778267939042093,1.1833895490963686,0.9025293978073193,0.9421281338313899,0.9636704785619277,0.9196544546227045,0.8588434371214652,0.9449428502723276,1.1377600483242332,0.994348049335767,0.9488429524371349,0.8418495415817774,0.8401880331428921,0.8984725744552826,0.926842762220007,0.8517250182682153,0.8414846351618699,0.8476945625957368,0.9357957555495758,0.9277887896161545,0.942580156725615,0.8070173624897463,0.8835179276179095,0.9762799000364933,0.8998671337536618,0.9405186525195678,0.9516808583507829,0.9514731990995275,1.0333251207761935,0.9131353975318297,0.9231708147674538,0.9413096987409575,0.8739437177859648,0.817834960617691,0.6609557625096616,0.8167564381169508,0.8659335417769407,0.8237331981478633,0.8475426962371875,0.8090450417862364,0.8259164270281888,0.8126469332544636,0.9102497141325941,0.9429848826700437,0.7899884913082417,1.0,0.9839521766300241,0.9443888484252586,0.9061719978797107,0.8942641871552319,0.9815294702390047,0.9191221607830052,0.8803790865921483,0.8622920266529688,0.8622657040310762,0.9325399851070252,0.918279900644819,0.9247220510920813,0.9224212987912394,0.9910974328764315,0.8789596356311862,1.0089537381843323,1.0063811114143144,0.9846866217590797,1.1447138258604472,0.9185645877033061,0.8374729207481233,0.844655988309422
r64,2.0205584152201075,2.307497356616038,2.085430935147421,1.6076270515633364,1.4728108110251652,1.5836575459324758,1.1045746076094007,1.185619916999215,1.1534957144300415,1.158963805114078,1.2310297096143337,1.1866356259605315,0.8555849005158572,0.7240052251427911,0.7647505536067388,1.1524636798382597,1.1624360428663754,1.1520621380744929,1.055483812503652,1.0962726534684446,1.029836190809242,1.0564791833457436,1.0749345446073726,1.1190368140869182,1.2005783982126608,1.2656004901746472,1.3083575709823831,1.4080890827110246,1.3830036296252401,1.481224292682492,0.9696210879839962,0.700754584716965,0.777207968963289,0.7109493781679209,0.8419490395537944,0.9304170970977571,1.1422414845589297,1.2306276786974573,0.9882391043003949,1.0757801998905763,1.1227476390350588,1.1202007679038875,1.1062244360379065,1.0896316619976172,1.18280617236688,1.1799936577582917,1.1576943102233108,0.9356199615793621,1.0016264972371542,1.0,1.0343501972679767,0.7589819595414491,0.6511627921240881,0.7674788695898704,0.9898030331337611,0.9221660261266861,0.8316904787195123,0.953427431427252,0.9183775896444684,0.9583692534515569,1.0165237558866673,0.9411986759961228,0.9580450993378808,0.7727718640297453,0.737596176360372,0.9646586466670466,0.9321951468971331,0.9051428380663845,1.1833022906293986,1.0713417420085132,0.8820301485437911,0.9040246566909649
r95,1.2960198859409027,1.3123547031267249,1.1487618712564809,1.220840576501719,0.970499381546611,1.22691314884468,1.1843147141395596,1.3922312900136367,1.2598795999256187,1.2643712352492211,1.2261339229491026,1.317759146544406,1.3265129474851856,1.157133012270896,1.406132544859136,1.1795826994375118,1.1129565763211526,1.2153765320517849,1.2724205524759677,1.1484383858626912,1.3175426665851808,1.1926969307864368,1.2238966962180697,1.4866840245500803,8.75633077254971,7.304356125521781,8.941345621552907,1.168605428031366,1.3671538959826695,1.3994299727675579,1.3476053933151253,1.454414675605343,1.790076696882637,1.5529354999314426,1.4717923459896285,1.4517807725674354,1.2674478138858414,1.2593005223615592,1.1684192498822767,1.1716818149075774,1.2089924725266625,1.0869563810881586,1.1701405668839313,1.252424291484765,1.2693060820470148,1.2994806147391345,1.1642945685232804,1.3216831381661096,0.9620618465144359,1.0,1.251104628063611,1.2744972301937603,1.2534630153713868,1.220409940565075,1.0873431629041947,1.0178119595455128,1.0357209924296777,1.0792858670503915,0.988922474644667,1.0282097702914783,1.0888091682584553,1.0914666233255186,1.1925680647534953,1.0567378859427734,1.1690591218238098,0.9965812621588235,0.9369195886370013,0.9655280695385097,1.0076704660879727,1.2377283124567677,1.3277057925192886,1.317802548304069
r124,1.4277042026388225,1.4327134470535419,1.399692279225778,1.1131413165484674,1.01924528618552,1.0799763135287035,0.7652232765703346,0.9016739432207613,0.8187129111546299,0.8668554015957899,0.8401887449735735,0.8325471403189119,0.7895363494984482,0.7095809374254144,0.7426873371429967,0.8735971846572508,0.9167821714179699,0.8816279035420346,0.8105562925469366,0.7842563297092399,0.8951679925111433,0.7956039917760754,0.8684823645108993,0.9048307666069574,0.868897305372628,0.8005141632708125,0.8775038800134755,0.7854512125676893,0.7880562673344742,0.8334108008361124,0.9959970315109797,1.0007453202506202,1.047449385475892,1.0933826409212728,1.0111298305045515,1.0602053737102994,0.8269643854008912,0.7969016250619684,0.8072976823733385,0.7699273545468592,0.7630240350985774,0.7705361791790701,0.8690954006774384,0.8710383507285376,0.8210372317281545,1.0626301401251557,0.9512276547325957,0.9475258625008526,0.8873148400630773,1.0,1.065372438350333,1.1772649337686907,1.1207635919434216,1.0133123044396177,1.338731339169481,1.1467840214553762,1.2519459052586008,1.215406133745881,1.2027968893994905,1.2513647352530677,1.2076422570596985,1.2860373332069783,1.2362623723946748,1.198363051562012,1.1817584386190572,1.1263197745892202,1.2728000362171217,1.1315267227611123,1.278101133711993,0.9585738932511575,0.8771378916623238,0.8908580710663416
