Line Name,Omics Sample ID,Strain (ICE),Genotype,GLCe (mmol/gDW/hr),3hpp_e (mmol/gDW/hr),ETHe (mmol/gDW/hr),EOLe (mmol/gDW/hr),CITe (mmol/gDW/hr)
SF ABF180_11_R2,SF ABF180_11_R2,ABF_011240,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscA",-7.454731893284036,3.588145840018832,-0.5037574094140308,0.11198680442315208,-0.02051800969781787
SF ABF180_11_R3,SF ABF180_11_R3,ABF_011240,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscA",-7.063260859963787,4.0646495658181125,-0.511156599983302,0.07018252801627266,-0.018109436086371444
SF ABF180_12_R1,SF ABF180_12_R1,ABF_011241,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscB",-7.460911448415898,3.8366611553976875,-0.5809192365593682,0.12868145864055988,-0.015698249019574097
SF ABF180_12_R2,SF ABF180_12_R2,ABF_011241,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscB",-7.899449357839225,3.134414567929638,-0.43597392780695793,0.09787217597798206,-0.023048907475794717
SF ABF180_12_R3,SF ABF180_12_R3,ABF_011241,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscB",-7.039062211432101,3.013030048760787,-0.5056894979526478,0.10232977375764045,-0.019838687429413394
SF ABF180_13_R1,SF ABF180_13_R1,ABF_011242,"(βAl-3HP)+, pyc2+, Δald6a, ΔscotA",-6.736844716819085,4.286191879826884,-0.5449435945566704,0.05186340814727385,0.0
SF ABF180_13_R2,SF ABF180_13_R2,ABF_011242,"(βAl-3HP)+, pyc2+, Δald6a, ΔscotA",-6.996788080811201,4.607029681936676,-0.6646065862226441,0.06456070014959765,0.0
SF ABF180_13_R3,SF ABF180_13_R3,ABF_011242,"(βAl-3HP)+, pyc2+, Δald6a, ΔscotA",-6.4954929110515165,4.40364509640517,-0.4748054878021238,0.052869609366450986,0.0
SF ABF180_14_R1,SF ABF180_14_R1,ABF_011243,"(βAl-3HP)+, pyc2+, Δald6a, Δech3",-7.0154092255391705,4.914653994595838,-0.5331443727967066,0.05074054740010288,0.0
SF ABF180_14_R2,SF ABF180_14_R2,ABF_011243,"(βAl-3HP)+, pyc2+, Δald6a, Δech3",-6.728058940027707,4.765274347904404,-0.5406717258431248,0.05021544583591553,0.0
SF ABF180_14_R3,SF ABF180_14_R3,ABF_011243,"(βAl-3HP)+, pyc2+, Δald6a, Δech3",-6.9238998404960705,4.218199707741621,-0.4193254145218608,0.04013516390879497,0.0
SF ABF180_15_R1,SF ABF180_15_R1,ABF_011244,"(βAl-3HP)+, pyc2+, Δald6a, ΔcoaT",-6.8842761536531585,4.869720777764032,-0.594295232063336,0.057609502976904536,0.0
SF ABF180_15_R2,SF ABF180_15_R2,ABF_011244,"(βAl-3HP)+, pyc2+, Δald6a, ΔcoaT",-6.44209486066479,5.455121872320106,-0.6435474503143239,0.07351431571703433,0.0
SF ABF180_15_R3,SF ABF180_15_R3,ABF_011244,"(βAl-3HP)+, pyc2+, Δald6a, ΔcoaT",-6.383190483172787,4.154947761651799,-0.5648588038108916,0.1926325633084303,0.0
SF ABF180_16_R1,SF ABF180_16_R1,ABF_010216,"(βAl-3HP)++, pyc2++, Δald6a",-7.042638476192546,4.724880923027127,0.0,0.14579696180772403,0.021111412196628605
SF ABF180_16_R2,SF ABF180_16_R2,ABF_010216,"(βAl-3HP)++, pyc2++, Δald6a",-7.500703059720817,5.887564458697786,0.0,0.18549826172491904,0.019576531001148735
SF ABF180_16_R3,SF ABF180_16_R3,ABF_010216,"(βAl-3HP)++, pyc2++, Δald6a",-7.777799947963735,5.298907978680556,0.0,0.2378209510877915,0.018503718699432486
SF ABF180_17_R1,SF ABF180_17_R1,ABF_011245,"(βAl-3HP)++, pyc2++, Δald6a+NeoR",-5.7528045380894675,7.027961683204535,-0.309779962371822,0.21366127619509898,0.012895676176240128
SF ABF180_17_R2,SF ABF180_17_R2,ABF_011245,"(βAl-3HP)++, pyc2++, Δald6a+NeoR",-6.2771276347115315,7.689920599876012,0.0,0.17001819160766743,0.021938698737759346
SF ABF180_17_R3,SF ABF180_17_R3,ABF_011245,"(βAl-3HP)++, pyc2++, Δald6a+NeoR",-7.919641491409097,7.655245908189708,0.0,0.1783741107650484,0.02797342322438712
SF ABF180_18_R1,SF ABF180_18_R1,ABF_011249,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C5 ",-8.194040815450853,6.268666826895259,0.0,0.24279137141276222,0.030734236519402974
SF ABF180_18_R2,SF ABF180_18_R2,ABF_011249,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C5 ",-6.6873013922470825,4.730006210333906,0.0,0.24650403246765365,0.010092813511712364
SF ABF180_18_R3,SF ABF180_18_R3,ABF_011249,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C5 ",-6.625732079635989,5.328308211890789,0.0,0.24982051601327449,0.014419898128296381
SF ABF180_19_R1,SF ABF180_19_R1,ABF_011250,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C7",-8.0631138109144,6.756309605003386,-0.3240309437320962,0.21890469818616384,0.043286548123355285
SF ABF180_19_R2,SF ABF180_19_R2,ABF_011250,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C7",-5.918051160041128,3.8819969185639396,-0.36317681177815686,0.18822547199562176,0.022638471180076253
SF ABF180_19_R3,SF ABF180_19_R3,ABF_011250,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C7",-6.169031280232366,6.583549273707842,-0.4291281015873979,0.19906559777704583,0.020261720653513705
SF ABF180_20_R1,SF ABF180_20_R1,ABF_011253,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3",-6.3250075690274326,6.785201925787749,-0.8166241016722988,0.19466905586694538,0.011775133085437497
SF ABF180_20_R2,SF ABF180_20_R2,ABF_011253,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3",-8.20323356242707,7.0826274146351995,-0.506244777923504,0.11374340548050446,0.026442097316132583
SF ABF180_20_R3,SF ABF180_20_R3,ABF_011253,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3",-7.812437999018734,6.12375528506308,-0.5328936943984675,0.1346404465791117,0.03575294474216411
SF ABF180_21_R1,SF ABF180_21_R1,ABF_011254,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3, ΔcoaT",-6.422452037902176,7.021447043289511,-0.6611167907855887,0.19468819580521338,0.01880967204930882
SF ABF180_21_R2,SF ABF180_21_R2,ABF_011254,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3, ΔcoaT",-8.077414831309817,7.237877417858464,-0.4974228642571508,0.1521855303060946,0.022418778099332154
SF ABF180_21_R3,SF ABF180_21_R3,ABF_011254,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3, ΔcoaT",-7.027410332683751,7.422561714222581,-0.695276350702782,0.16976308309939042,0.03931966705931032
SF ABF180_22_R1,SF ABF180_22_R1,ABF_011255,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-4",-7.892183141789768,7.528828846312892,-0.887356308533161,0.16024474031298477,0.025145945950032292
SF ABF180_22_R2,SF ABF180_22_R2,ABF_011255,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-4",-8.101947362981086,8.476370928557829,-0.7353776411820147,0.2146611599741431,0.03739955206133198
SF ABF180_22_R3,SF ABF180_22_R3,ABF_011255,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-4",-7.861384798728351,8.722218518503253,-0.8169466335767198,0.1767932771461418,0.016514952043570192
SF ABF180_23_R1,SF ABF180_23_R1,ABF_011256,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-10",-6.555259703226295,2.30932578407414,-0.569866887419593,0.06735704179977112,0.007506987400949759
SF ABF180_23_R2,SF ABF180_23_R2,ABF_011256,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-10",-6.2089169571655045,3.0061620795082864,-0.7606242686896325,0.0813454865383904,0.008536431773009395
SF ABF180_23_R3,SF ABF180_23_R3,ABF_011256,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-10",-7.140623358004099,3.541703180279301,-0.943180738480024,0.08607068961484421,0.007875660295738624
SF ABF180_24_R1,SF ABF180_24_R1,ABF_010214,"(βAl-3HP)++, pyc2+, Δald6a",-7.0611178991244925,5.959778283436457,-0.27522770592768186,0.15153162827808664,0.01687214197650804
SF ABF180_24_R2,SF ABF180_24_R2,ABF_010214,"(βAl-3HP)++, pyc2+, Δald6a",-5.101784720433119,4.421721631341132,-0.2674159554384654,0.19230047574237744,0.01585564018622625
SF ABF180_24_R3,SF ABF180_24_R3,ABF_010214,"(βAl-3HP)++, pyc2+, Δald6a",-6.531199612144264,5.023040655115998,0.0,0.12732240471824893,0.01606864431252925
