,SF ABF180_1_R1,SF ABF180_1_R2,SF ABF180_1_R3,SF ABF180_2_R1,SF ABF180_2_R2,SF ABF180_2_R3,SF ABF180_3_R1,SF ABF180_3_R2,SF ABF180_3_R3,SF ABF180_4_R1,SF ABF180_4_R2,SF ABF180_4_R3,SF ABF180_5_R1,SF ABF180_5_R2,SF ABF180_5_R3,SF ABF180_6_R1,SF ABF180_6_R2,SF ABF180_6_R3,SF ABF180_7_R1,SF ABF180_7_R2,SF ABF180_7_R3,SF ABF180_8_R1,SF ABF180_8_R2,SF ABF180_8_R3,SF ABF180_9_R1,SF ABF180_9_R2,SF ABF180_9_R3,SF ABF180_10_R1,SF ABF180_10_R2,SF ABF180_10_R3,SF ABF180_11_R1,SF ABF180_11_R2,SF ABF180_11_R3,SF ABF180_12_R1,SF ABF180_12_R2,SF ABF180_12_R3,SF ABF180_13_R1,SF ABF180_13_R2,SF ABF180_13_R3,SF ABF180_14_R1,SF ABF180_14_R2,SF ABF180_14_R3,SF ABF180_15_R1,SF ABF180_15_R2,SF ABF180_15_R3,SF ABF180_16_R1,SF ABF180_16_R2,SF ABF180_16_R3,SF ABF180_17_R1,SF ABF180_17_R2,SF ABF180_17_R3,SF ABF180_18_R1,SF ABF180_18_R2,SF ABF180_18_R3,SF ABF180_19_R1,SF ABF180_19_R2,SF ABF180_19_R3,SF ABF180_20_R1,SF ABF180_20_R2,SF ABF180_20_R3,SF ABF180_21_R1,SF ABF180_21_R2,SF ABF180_21_R3,SF ABF180_22_R1,SF ABF180_22_R2,SF ABF180_22_R3,SF ABF180_23_R1,SF ABF180_23_R2,SF ABF180_23_R3,SF ABF180_24_R1,SF ABF180_24_R2,SF ABF180_24_R3
GLCe,4.025102688099091,3.955811208047085,4.026805196011699,4.143307789274841,4.393241285944613,4.179065063195081,4.57284971087224,4.486982471009453,4.579683614965776,4.37210266642823,4.518084904690351,4.50776443085988,4.897808645712753,5.101750258104267,4.924561931263694,4.762240620217156,4.707643494780144,4.6139184651996645,4.638427432087542,4.38414005466789,4.4022138180063894,4.2461418872998,4.642912152317337,4.3265922642766395,4.059189370015052,4.498339243571328,4.143802295780706,4.280786851529104,4.1413280665072785,4.353873242382884,4.164238004555904,4.165206115437179,4.244101680643322,4.257896598209,4.107946615884617,4.063433336918954,4.1053762178791535,4.102163552256444,4.037297683671898,4.307462905024273,4.28515668439034,4.21362463731177,4.173276530730549,4.232425765276022,4.305366210751233,4.233305828493824,4.3257847552399555,4.3358260793530965,4.736562575120849,4.819942679715622,4.370509220579445,4.503347296348981,4.628186594737454,4.657705927167641,4.640302432818814,4.5530801617520344,4.911735177604479,4.825337250050217,4.56918742796549,4.519122051122298,4.885344105339175,4.536610285954826,4.793953232338377,4.5061192053386305,4.634003820783975,4.911084639590577,4.748386090680474,4.771985204820785,4.699293162334686,4.327672109360732,4.772330640699772,4.561514110155997
3hpp_e,-6.643856189774724,-6.643856189774724,-6.643856189774724,3.7779899767925227,3.801569132993262,3.784936472350847,4.508182869586236,4.495161734141275,4.472370921042866,4.829111321992866,4.725119487367293,4.817853563003814,4.6347639222281165,4.637394439702908,4.685988830641993,4.510648014967028,4.505669901849304,4.476031552891591,4.86844623995893,4.969567532801831,4.905792391856238,4.847749200577303,4.7336747145392,4.899728215852327,4.796442517094646,4.728958591311604,4.776835901166168,4.899886698646899,4.956802524565399,4.944822825488218,4.696022622924308,4.634737184714329,4.657279738637973,4.583673709131595,4.565585214633234,4.53255516403948,4.800093747326161,4.819238250556459,4.835599032251958,4.841709055795436,4.820793148596665,4.8357222783395475,4.868223220822631,4.882014078884919,4.780280911973462,4.961722037828068,5.035748552265759,4.951195068843894,5.054662568241447,5.081614408961683,5.1108045137797955,4.862443835866832,4.828294867680173,4.8721666475899275,4.92408374812078,4.769757503432233,4.857518958175031,4.919475712126156,4.952595684523716,4.890570335085719,4.915911762090205,4.978510235717722,4.960195499014204,4.898383143884294,4.95201414229155,4.887700003579334,4.033803679631624,4.125389714561329,4.094708281813889,4.998995963792461,4.900111901635459,4.956893327641478
ETHe,0.40370128386120374,0.9768764358975405,0.2151001158957032,0.86775886968523,0.7184623039887126,1.029488055598688,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,0.12788699063981962,0.096514153210837,0.1729279466500091,-6.643856189774724,-6.643856189774724,-6.643856189774724
EOLe,-0.7565879858144667,-0.7625064981623942,-0.8346582860980001,-0.9625754374726706,-1.081827332213586,-0.9896247453650991,-0.793680367951126,-0.6917199878490983,-0.7085698856222582,-0.5260006356328312,-0.575328041550228,-0.4099788548505776,-1.2069814825337557,-1.1837646578798466,-1.2322197116167113,-0.22291469131358654,-0.0742993659593532,-0.30749203093416183,-0.5450875275214252,-0.6689375710697614,-0.6936034505686081,-0.4005648773177734,-0.5789789824513476,-0.4338648150074271,-0.40179600309569724,-0.43733215070296094,-0.43433714309642285,-0.5273436454533574,-0.5899875699545611,-0.5229834268396152,-0.06208217745288529,-0.16375882555269505,-0.08032376832100692,-0.15815652536424615,-0.2089739343654544,-0.24318490033610493,-0.5810693901262509,-0.5270077757726199,-0.5406734333717328,-0.6323505673980556,-0.6363300178673351,-0.6016111885304877,-0.5708205924067524,-0.527511609620598,0.09466011191866698,0.21670547371511567,0.26318024233619625,0.3848153691086268,0.2894479948077483,0.21570233443653083,0.23652425272679192,0.49351571034821906,0.5681170791267313,0.5782991173845127,0.4997102726894287,0.604670853105015,0.43437990228747253,0.38490461550787336,0.27305061711078893,0.331080724147701,0.4344661347414786,0.3962828144949958,0.37181584985308486,0.3394860687548331,0.4207770745578267,0.31384045908394365,-0.11296982385015665,-0.06329925115204454,-0.13545027007120114,0.07676112474305163,0.258122177482421,0.047291836251242975
CITe,-1.128707180968725,-1.4716954085069316,-1.4775247457300082,-2.2510117561484893,-2.6733152890795964,-2.5659118138600863,-2.955686490616449,-2.584663687695824,-2.4595291326601036,-2.8310450599502777,-2.523082640149316,-3.0270343230885306,-6.643856189774724,-6.643856189774724,-3.6608789076065262,-2.4998268203411462,-2.3925257269126057,-2.8269048603396194,-2.488664980780033,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-6.643856189774724,-2.031697501411094,-1.9106526220283728,-1.9742492790649253,-2.302969701756761,-1.945687331840152,-1.8602804258171899,-1.7700775525907544,-2.0203070045677087,-2.008536764516519,-1.556558793103503,-1.716628212757249,-1.7908948542223684,-2.0312210975342135,-1.7904916756067961,-1.6573485471343068,-1.934953618092811,-1.6699008551785546,-1.6540440774411838,-1.740961433993607,-1.7040441706050604,-2.008536764516519,-2.3937500086452355,-2.537218226776509,-2.533165335221355,-2.103998730906856,-2.1446435422307495,-2.184346505336111
