Transcript,SF ABF180_1_R1,SF ABF180_1_R2,SF ABF180_1_R3,SF ABF180_2_R1,SF ABF180_2_R2,SF ABF180_2_R3,SF ABF180_3_R1,SF ABF180_3_R2,SF ABF180_3_R3,SF ABF180_4_R1,SF ABF180_4_R2,SF ABF180_4_R3,SF ABF180_5_R1,SF ABF180_5_R2,SF ABF180_5_R3,SF ABF180_6_R1,SF ABF180_6_R2,SF ABF180_6_R3,SF ABF180_7_R1,SF ABF180_7_R2,SF ABF180_7_R3,SF ABF180_8_R1,SF ABF180_8_R2,SF ABF180_8_R3,SF ABF180_9_R1,SF ABF180_9_R2,SF ABF180_9_R3,SF ABF180_10_R1,SF ABF180_10_R2,SF ABF180_10_R3,SF ABF180_11_R1,SF ABF180_11_R2,SF ABF180_11_R3,SF ABF180_12_R1,SF ABF180_12_R2,SF ABF180_12_R3,SF ABF180_13_R1,SF ABF180_13_R2,SF ABF180_13_R3,SF ABF180_14_R1,SF ABF180_14_R2,SF ABF180_14_R3,SF ABF180_15_R1,SF ABF180_15_R2,SF ABF180_15_R3,SF ABF180_16_R1,SF ABF180_16_R2,SF ABF180_16_R3,SF ABF180_17_R1,SF ABF180_17_R2,SF ABF180_17_R3,SF ABF180_18_R1,SF ABF180_18_R2,SF ABF180_18_R3,SF ABF180_19_R1,SF ABF180_19_R2,SF ABF180_19_R3,SF ABF180_20_R1,SF ABF180_20_R2,SF ABF180_20_R3,SF ABF180_21_R1,SF ABF180_21_R2,SF ABF180_21_R3,SF ABF180_22_R1,SF ABF180_22_R2,SF ABF180_22_R3,SF ABF180_23_R1,SF ABF180_23_R2,SF ABF180_23_R3,SF ABF180_24_R1,SF ABF180_24_R2,SF ABF180_24_R3
178461,0.3646629929936491,0.3293160649347833,0.2914334179677752,0.6656098903931493,0.6199037859816934,0.6548013712308903,0.8731501779218677,0.936645904234482,0.8518074972981368,0.8753990310521474,0.85154484247388,0.8138619445028601,0.8256349907347035,0.9167494839736706,0.925374240750945,0.9242574056637809,0.9173804926647443,0.9086989410408488,0.7982368081495098,0.9122115082723267,0.8830304384178188,0.8778672459950982,0.7863321924449442,0.784234897555749,0.8168494357607814,0.9548907114143822,0.8931863617744029,0.7859727357746241,0.9473564379666352,0.891561941914236,0.8697469363753607,0.9035831091762837,0.9112011446552504,0.9269814793253863,0.9332054089010011,0.8754366589842169,0.9049584116778016,0.8977992578658432,0.9692752274911944,0.9781885777673719,0.8421687374901059,0.8866315701709475,0.9452954732644283,0.841930648437744,0.9207394214508293,0.9227324495489567,0.9947629963754058,0.9648360410964957,1.0572209924299178,1.0,0.9504556874089207,1.0670353394667147,1.0537290759891487,1.0895653165545982,1.013892503006736,1.0589225673689984,1.0204998262679466,0.9978997664363173,1.0713256734079912,1.0375750252045801,0.9901852677167096,0.9360278685665523,0.9843379301680161,1.0997875947989804,1.0697384263220755,1.0276067304933676,0.8693618752168694,0.8950070034288027,0.819066002169784,1.0076446051585295,1.021372305802817,0.992287684647212
1176200,0.9850860352906796,1.0521372598098024,0.978003518961963,0.9470889234717232,0.9979622066249897,1.009426728185089,1.0594059271212144,0.9864916817532663,1.0257177738080026,1.036105348676118,1.0290227795906635,1.2276896034583615,0.9942995644183588,0.9283309758339339,1.0002749898720174,1.0482195171473097,1.0782320684486353,1.058553625417342,1.1584349379334735,1.059437540154566,1.065490460425299,1.0805944845126656,1.0521119558828025,1.0430791140771236,1.0299206583011367,1.0839634089870613,1.017830107455741,1.0933214397385942,0.9735369326336892,0.9952385985619803,1.1764644600050578,1.0120874799151063,1.02016877861505,1.0428823412052168,1.064068321022968,1.0597609494270785,1.0484632359162505,1.045467125520733,1.1957645909130339,1.035573951930627,1.032239514468646,1.2128801681714523,1.1791215532146668,1.3553586069545682,1.2068891044862735,0.9234769566522555,0.9868861334458112,1.044313690289866,1.0923062445327656,1.0,1.1524367036601015,1.0797811952184246,1.0113332278879552,0.8478126821067105,1.1053756203395748,0.9422726507656738,0.9884534625609225,0.9789931251266707,1.096241375771662,1.0324036012755355,1.2443974085100402,0.8461343226810221,0.920695105685105,1.0536505326953636,1.0961819999243865,1.0245241783076622,0.9866287678379252,0.8968236615566687,0.9662414335142315,1.0151569518458772,1.1028799257420716,1.3420502734730935
1144118,1.1192895169914776,1.1893944107286307,1.1327617659392601,0.9693424769702254,0.9695409829804102,0.9574986416882338,0.890385970290746,0.9823346159062907,0.9266525033796503,0.9429422809232111,0.9213264178606472,0.9560008544942911,1.0137565658410974,0.9674030083969691,0.9625100425997059,0.8778353219506836,0.9059981429322361,0.9029560480874853,0.940911043282749,0.8991575846514791,0.9424556529730045,0.8809615799475451,0.941625970431201,0.9517021362968222,0.9062664561363561,0.8566868132253657,0.888519773966301,0.9805356224758592,0.905178183517409,0.9255339540315942,1.0648006200627511,1.003718974803808,1.0239348133447308,1.0145007662429006,1.03852347839996,1.0099502783217933,0.8843907461583973,0.8794714723507656,0.8963094197375305,0.8450010145914316,0.9056419572018481,0.8891720037795854,0.8825071078281501,0.8884123724835259,0.8749062427728226,0.9674113727184036,0.972729965091711,0.9640332838770799,0.9054295956920588,1.0,1.0675818966786865,1.0007740006911956,0.9821208852894557,0.9779731430916822,0.9512329189743769,1.017669169546796,1.02090832320882,0.9758669632390524,0.9652293952824949,1.0265337262334853,1.0836346707834346,1.0147494133037906,0.984734798129729,0.9996149768068341,0.9844463840233928,1.0394074316691797,1.0542647304287693,1.044716500400763,1.1107975169840814,0.9604073626969558,0.9202276918638462,0.9366765621932086
1146951,1.2904543156427524,1.3513177436463117,1.3454015786947189,1.0361572670422368,1.0309852013971232,1.0135652090081526,0.826937212714442,0.8861361843422803,0.8841798309879988,0.8481576389305452,0.9186869710876894,0.8496197479511997,0.9345613871682523,0.8599605349866869,0.8982683420704735,3.0869887996391676,3.1075558323271233,3.103641221859231,0.8589875808914874,0.8593731101870966,0.8834516075155732,0.8479287366449949,0.9218122241745014,0.9050003000205474,0.8555569894437085,0.8191042246395506,0.8545370747462709,0.9461648323045374,0.8829618990234814,0.906267215268534,0.9404713123446452,0.9021556930505463,0.9537658962383465,0.947344193322898,0.933263612662425,0.8859949088696564,0.8625564537538704,0.8338335903509732,0.8871709188458138,0.7590195785358084,0.841626996056645,0.8242518710151366,0.8288807614952322,0.8449623285322944,0.8015221985618006,0.9698626738178309,0.9479091833825704,0.9516237019197135,0.9387187658026862,1.0,1.0845368460957179,1.0339352112022198,0.9738868372521785,0.9955692380620191,1.0730827076238778,1.0488160601503558,1.0495189845025858,1.037186508997693,1.0165873487877832,1.0974535488636312,1.1558807662836557,1.1022163598571268,1.0695368850888984,1.022716603565706,1.0622156463888752,1.0984714761670042,1.1527731728066075,1.0859806187210497,1.2229571077349874,0.890633428198943,0.8395088191213607,0.8978127182644114
1005336,2.235946200786764,2.76706241650328,2.7745020873397226,2.0364731059799253,1.709185541091853,1.72960165104436,0.5556341253469754,0.7416929714811912,0.8396538086604173,0.6370802902391878,0.3406543040101681,0.7546189895975897,1.5592224553939553,0.9754406653217113,0.7724659297172185,0.2540579702207794,0.24549774828110138,0.5361136374260987,0.6708166496382988,0.3045911578583216,0.2521793923802647,0.2840382928086988,0.7124710657570058,0.6752370757164955,0.7437713963217221,0.07096246437947164,0.46338608075957616,0.8959823728758743,0.5428338554671864,0.7342843872645469,0.7854061904192728,0.7844606167601849,1.142043649358634,0.6062560791895275,0.653616186632646,0.7379272256479165,0.4161754930117906,0.1286578910763921,-0.7941555075259586,0.12293997088997975,0.37627809797888845,0.15979535467225123,0.2832619578966227,0.08183571486501412,0.17126436209358128,0.10108351029983088,0.5925413049036707,0.7456315017485692,-0.021446443552847264,1.0,0.929900901352872,0.7520778937924213,0.5730868497417992,0.5157704968518876,0.9192189637369593,0.6345716377468026,0.44796500826072866,0.3580181153559018,0.3578858428950282,0.6973696620009466,0.6305991725261493,0.6608909572551521,0.6500968304887385,0.9612525020689161,0.44097320738538665,1.0386238316916667,1.0275614705909035,0.9331339434549845,1.5856243046109826,0.6319422880364861,0.2314727757307657,0.26847870731838136
1111981,2.332654195067262,2.1670547243183558,2.1761822744868233,1.0913047525146986,1.120295622588904,1.0761723519322415,0.9882059187475448,0.8764318929581113,1.0229350795113974,0.9714522943886588,0.8357649284686033,0.8810782472448968,1.008360299024448,1.0377791943080703,0.9542666142365739,0.8300413145470809,0.897638845832321,0.7625499269096823,0.9037020699786129,0.8566037698828467,0.86782299665937,0.8935740035503426,0.8705249544906857,0.9004969764473284,0.9994254121943297,1.0149531202389463,1.0092546668930709,0.9101962330322771,0.9740104386346383,0.913195947786668,1.003333787651903,1.0872579805733942,1.1617530854703189,1.1843741983451053,0.9317362887330547,0.9770558047435371,0.9630791809784353,0.9518032710873479,1.0473405572786183,0.9441044429250264,0.9548966036848151,0.9492699507292952,0.963919958910491,1.103007936919056,1.0462058733922186,1.144176249227609,0.9940785379535074,1.0564929612890919,1.2535665548554609,1.0,0.9515190746379093,1.2377968991744264,1.1553064829899313,1.1703069756166562,1.2558943808373022,1.27336572372216,1.1953274151412265,1.2471330800902918,1.1446121382715055,1.1076326925131108,1.1666580878392812,1.2307482946099955,1.223959577291945,1.3330404897337895,1.2810880800544104,1.2018618524582505,1.1110911648757906,1.2102786791031264,1.1727054460076924,0.8848526326733939,0.9912925174518933,1.1361126648891302
1182700,0.8660304371844724,0.859559203823275,0.9283467800143782,0.8969053310803463,1.015471211879706,0.8943417743409098,0.9125991201979001,0.8290323470771832,0.8806425772748365,0.8788038830820172,0.8946700166623649,0.8574358904089966,0.8540150786414211,0.9245954598964635,0.8238991201448455,0.9146676182011323,0.944706733563441,0.8992229179902446,0.875525099558874,0.9284922900304438,0.8575207741289144,0.9089552202959161,0.8956135900303647,0.7951183788687768,-0.1210427202730059,-0.027368652255095816,-0.13184569161825305,0.9194982256180625,0.8384235040209976,0.8263677696590486,0.845864425859585,0.8064563435077323,0.6991687955141668,0.7725924773215109,0.8003197313107829,0.8073928529273887,0.8775482214135577,0.8808801051543927,0.9195805450712716,0.9181398837066375,0.9019439664401095,0.9569199034942475,0.91881995698238,0.8837089983115005,0.8767912714129353,0.8646526448207384,0.9214076625012521,0.8558996708594682,1.0199827242481474,1.0,0.8842536861425541,0.874682557984855,0.8832806710924707,0.8970876093894715,0.9567360873110399,0.9908782250084347,0.9818662799652631,0.9605788522626368,1.0057552799601963,0.985626856789822,0.9560399684587827,0.9547804869997785,0.9090110466018126,0.9714870947216346,0.9192976779031887,1.0017693603819495,1.033664611333998,1.0181245801459813,0.9960520785503006,0.8898073809307934,0.8535506869820446,0.8574188738706416
1145895,0.37711811324679967,0.2610767083083946,0.18193047352855968,0.8939104695690393,1.0532529639859287,0.9485050736128414,1.4066067514030722,1.1420982907516468,1.3059788062799145,1.2721395193253944,1.1931177165715974,1.1896518163212624,1.2108579133552453,1.4912266512857704,1.5863573215338815,1.488706222640871,1.5125019164305566,1.4888544894371334,1.279461463582553,1.362206773615445,1.2360182970840845,1.4349665461830967,1.1753428110125834,1.1342508458666396,1.3211428679539967,1.54948842907849,1.3887681781135905,1.0531694624528913,1.1762406400590097,1.147956025776392,0.982906704870997,0.982440488306259,0.8528868397781123,1.0104157450766322,0.8922622421058044,0.9425754069131518,1.3277067019432363,1.3022564753989039,1.1342508458666396,1.4706508576287112,1.2716419148591274,1.368730716755147,1.3706567545569217,1.3677980146982989,1.4636460624045398,0.8333875265876595,0.9873294204706384,0.8732539644131118,1.141163915515785,1.0,0.7845705131801051,0.7476523407747483,0.84533182650874,0.7496956939845456,0.8124279172700529,0.8966037565991936,0.9009150858686068,0.8849043562123463,0.708221468485035,0.7414024993720075,0.7382249211802975,0.6809882649591819,0.8206371822817259,1.0202540327600653,1.033570765096501,0.7522713868240007,0.7972212311732391,0.9781308660517621,0.6679861149258799,1.13159677116863,1.1086572807066477,1.094516044385028
1088723,1.4313443146198095,1.4773887167753539,1.390175897192358,0.8418547368584465,0.7035940860300121,0.7462836846493833,0.6913356630331711,0.777215749840337,1.1113636407130842,0.8571560779158859,1.0226080133274702,0.8993293400248407,0.5376237640217261,0.23257304335986753,0.656118955660309,0.47788367284871613,0.5534096961916982,0.47669309495820456,0.5635843070462615,0.8620026680843311,0.7947605627292755,0.8380236749075792,0.7141797802597671,0.8515799355364294,0.7259626921339244,0.7427541758824409,0.7745836357526267,0.5253679332514344,0.7908798034006591,0.937764318786517,0.29186002678303874,0.5023249147623983,0.6380024083632072,0.6483576397194507,0.5187778626344304,0.6248290639073398,1.019342111698175,0.8746250472223965,0.7946579962949148,0.8597370508161165,0.5217762857938223,0.4788403845251513,0.9346016472171685,0.8432694131762971,0.947701787592735,0.8157950576496759,1.080049544600765,0.7857681198629336,0.589220487995119,1.0,0.8268840124577568,1.0289938390908464,0.7720162090714399,0.8571570271817298,1.163975645701337,0.8032828594442029,0.6792742617377739,0.9552574253766192,0.9231200196028359,1.0025584772157452,0.9011298628291798,1.0361586467559225,1.0424225240562048,0.9031996828540947,0.705114484030633,0.6285474716162148,1.1502395026506957,1.0027526329049503,1.1124237080614188,0.9682932146557002,0.9766116640605594,0.7381819007395742
1111059,1.769132582132531,1.907844207290078,1.8738537762690473,1.0425405377372527,0.9803834799605802,0.9331447094590332,1.3298682033346612,1.5523312219975074,1.3962733278795714,1.4481412985189226,1.568951130174012,1.6541979389476513,1.7644787671057904,1.6233361676257194,1.6051994231899425,1.2959554110303364,1.1765137782620978,1.2949481085185641,1.5929126323174876,1.3479401997816,1.4463042103885178,1.3231151323092722,1.5156418117533568,1.5144250959219065,1.2320097080268628,0.9434646987483375,1.1034970083640072,1.5667866986834311,1.3958334482260344,1.471494830249999,1.4734523803916886,1.2251726418802869,1.4962159109527249,1.3376306645769394,1.3219721750159572,1.3654838660614128,1.2743094244355666,1.4393728463721267,1.5039942175734473,1.0415550365528543,1.4237890530507353,1.318844706540897,1.2240299366591687,1.4349186590390057,1.3237568700610907,1.5116378755132143,1.3523777751426012,1.4328814234034084,1.003160272493528,1.0,1.2773310351736473,1.293708781022816,1.4404466425826292,1.283832743777802,1.1336964854993345,1.243889450970554,1.2888541424879068,1.0613536216959014,1.0328524489056938,1.1735961239857218,1.1664977062050867,1.0009921904153838,0.9658526819965357,0.9829086246853085,0.9029328628481398,1.1015408416461527,0.7501288468987326,0.8822388331518549,1.0255315796796194,1.2024019388730725,1.122083979943188,1.2635637393316612
