,SF ABF93_1-R1,SF ABF93_1-R2,SF ABF93_1-R3,SF ABF93_10-R1,SF ABF93_10-R2,SF ABF93_10-R3,SF ABF93_11-R1,SF ABF93_11-R2,SF ABF93_11-R3,SF ABF93_12-R1,SF ABF93_12-R2,SF ABF93_12-R3,SF ABF93_13-R1,SF ABF93_13-R2,SF ABF93_13-R3,SF ABF93_14-R1,SF ABF93_14-R2,SF ABF93_14-R3,SF ABF93_15-R1,SF ABF93_15-R2,SF ABF93_15-R3,SF ABF93_16-R1,SF ABF93_16-R2,SF ABF93_16-R3,SF ABF93_17-R1,SF ABF93_17-R2,SF ABF93_17-R3,SF ABF93_2-R1,SF ABF93_2-R2,SF ABF93_2-R3,SF ABF93_3-R1,SF ABF93_3-R2,SF ABF93_3-R3,SF ABF93_4-R1,SF ABF93_4-R2,SF ABF93_4-R3,SF ABF93_5-R1,SF ABF93_5-R2,SF ABF93_5-R3,SF ABF93_6-R1,SF ABF93_6-R2,SF ABF93_6-R3,SF ABF93_7-R1,SF ABF93_7-R2,SF ABF93_7-R3,SF ABF93_8-R1,SF ABF93_8-R2,SF ABF93_8-R3,SF ABF93_9-R1,SF ABF93_9-R2,SF ABF93_9-R3
r5a,0.97770572558972,0.9904613814896186,0.982522422798415,0.9951051196988772,0.9943770044963718,0.9936314527768496,0.9790983970778648,0.9852090525896604,0.9847019874254588,0.9957331155456114,0.9944799361935972,1.0006659624563667,0.9921605981962768,0.9897771388137996,0.9926229471313556,0.9983651859126442,0.9966648442694044,0.993243068422018,0.9989557776180368,1.000924135401867,0.9938890632540592,0.9967402150203784,0.9961037821492816,0.9979905820309379,0.9874158969288108,0.9973223697014082,0.991655220436948,0.985643559344342,0.9813783622948258,0.9766378795395408,0.9876853192401278,0.992223594644852,0.9926437584581173,0.9970155432487496,0.999024117515375,0.9974798608228465,0.9947912623925826,0.9985924231021476,0.9954878793708006,0.9908455473322691,0.9855785942567488,0.9871152576273512,0.9986616067019224,0.9976635067198087,1.0,0.9963869849337246,0.9956546512190376,0.9932793476267776,0.9954915354146912,0.9870508550080492,0.9928473719794048
r7,0.9862518157024408,0.9893590946517818,0.990973599481345,1.0007383172712627,0.9937941957703368,0.9952858756814869,0.9927541504700994,0.9925856423414968,0.9910414404162368,0.9929913201900642,0.996009147584124,0.9958023421535668,0.9950478853050516,0.9892945363427718,0.9956994865426017,0.9950678546124996,0.9975938352285941,0.997245056228646,0.9950131441811354,0.9962099348672314,0.997979270217556,0.9985209034880634,0.9938765349695401,0.9943503273051556,0.9926228454348248,0.9984366494237624,0.9953594612116718,0.99188644302866,0.98323836514289,0.9880085676535518,0.9964536698389598,0.9995617694447709,0.9959992997064784,0.9942745533577159,1.001777815467186,0.9956319191598666,0.999497484687918,0.9974641715062602,0.9996736522769114,0.9959672941041302,0.992739105101474,0.9960586605245088,0.999701828149064,0.9957158996720108,1.0,0.998108386835576,0.9986981652856842,0.9986502936582404,0.9982126102073249,0.9975257207415452,0.996439718678962
r8,0.9862518157024408,0.9893590946517818,0.990973599481345,1.0007383172712627,0.9937941957703368,0.9952858756814869,0.9927541504700994,0.9925856423414968,0.9910414404162368,0.9929913201900642,0.996009147584124,0.9958023421535668,0.9950478853050516,0.9892945363427718,0.9956994865426017,0.9950678546124996,0.9975938352285941,0.997245056228646,0.9950131441811354,0.9962099348672314,0.997979270217556,0.9985209034880634,0.9938765349695401,0.9943503273051556,0.9926228454348248,0.9984366494237624,0.9953594612116718,0.99188644302866,0.98323836514289,0.9880085676535518,0.9964536698389598,0.9995617694447709,0.9959992997064784,0.9942745533577159,1.001777815467186,0.9956319191598666,0.999497484687918,0.9974641715062602,0.9996736522769114,0.9959672941041302,0.992739105101474,0.9960586605245088,0.999701828149064,0.9957158996720108,1.0,0.998108386835576,0.9986981652856842,0.9986502936582404,0.9982126102073249,0.9975257207415452,0.996439718678962
r10,1.0151674965199848,1.0106072647165905,1.0131664529349291,1.001089165003325,0.9979184225199614,1.0007401847917328,1.0030191821671108,1.0069569540738683,1.003168225799145,1.0000685097370512,0.9943517217196,0.9967996165691776,0.9967702552532984,1.002468587586483,1.0039464404857312,0.994017282350158,0.9959274456717784,0.9989471871020492,0.996793464674422,0.9943464087195836,0.9954422848808238,0.9957448462501683,0.9981952577839645,0.9978650128882194,1.0036998054323467,0.9970177292014224,1.0008299465288493,1.0047008864880342,0.9983666719423824,1.00767141276026,1.0102703086629303,1.008609856342072,1.0062967439139583,1.0034668723263724,1.003439468431552,0.999033313628628,0.9945740288255416,0.9901438257067549,0.99761110741376,0.9932522103478224,0.9902380615491476,0.9942071521928428,0.9998266284205234,0.99933951020851,1.0,0.9971799155177072,0.9925039162402752,0.9978896204672421,1.0024095853231452,0.9971203539912092,1.0012630958459607
r12a,0.9953412502008764,0.9987356963651336,0.992133806300898,1.0002935225414002,0.9978922135781528,0.9958796378731398,0.9999253042995004,0.9965750443242708,0.996571099128822,0.9937873692200584,0.9997075295107194,1.0028302832150608,1.004587210254983,0.9954885374976362,0.9974771790169256,1.0047255551087255,0.9999495014982536,1.000394519544893,0.9981717964289668,0.9998871674101608,0.9948580952648974,1.0033620955615759,0.9977799070143736,1.0017745489129275,0.99124350719459,1.0030877729713608,0.996821750546344,0.9945585234238092,0.9925051806991569,0.9910862254026928,0.9947331640756814,1.0007464309789371,0.9996717597386492,0.9993222154218742,1.0007761514513192,1.0009310661259467,0.9956681753970772,1.000714080376256,0.9973406752543928,0.9959756376290636,0.9979477093274678,0.9959488103000111,1.001272983064854,1.003315016229219,1.0,0.9994908067740584,0.999904000244076,0.9979855832037776,0.9990168572941271,0.9940477521196878,0.9951495137020584
r13a,1.0054429905706253,1.015398330995087,1.0103941109726176,1.006030440056118,1.0064686516609005,1.0053186256700335,1.0063697186838003,1.0118118708393653,1.0021323689696997,0.9926624708650768,1.001183283121587,1.0119680955122436,1.0181966809942486,1.006522589696438,1.0057794744814403,1.0117682732562363,1.0108829069526966,1.0081790183836474,1.0065035856217406,1.0096884449636407,1.009799674694957,1.0067433723289496,1.0047160847134575,1.0128101437043413,1.010745406882829,1.013430011905494,1.0113183238406118,1.0187201314634815,1.0119502093242936,1.0096999033027965,1.008089587443896,1.0087158834938434,1.0106576527731976,1.0037432437719735,1.0106202035671763,1.009829857637123,1.0051763745814912,1.0078078799836792,1.0084772146733816,1.004860292103807,1.0035082080834392,0.9975090688562342,1.0090269354811665,1.0141035386704975,1.0,1.0116318910731157,1.007291695778301,1.006178839521768,1.0107551883918642,0.99635540973344,1.0019859258058568
r14,1.0121352871501703,1.0055565805864786,1.0043835634175011,1.0073640379478896,1.0031201609306848,1.004993602064072,1.0059572141302875,1.005965181981998,1.0007340383388124,1.00263262800416,1.0024052952350502,1.0056439779599258,1.002426459841156,0.9984059316672056,1.005483624944256,1.004998581971391,1.003319357223443,1.0032832528953803,0.9983703253298752,0.9975934597881198,1.0019429108404865,1.001223563228265,1.0071132996143808,1.0018659712724085,1.0043828164314033,1.004195073925479,1.0076663183221497,1.000641910053412,0.9965098319555172,1.0016959074374665,1.0043584148855405,1.003024048719429,1.0015054259825171,1.0003520794474494,1.0034620315681304,1.0029388923042752,0.9995530533181248,1.0034602886005688,1.0003550673918409,1.0035564008118243,1.0035718385245131,1.0024750139375156,1.0071466649934175,1.0015686708054676,1.0,0.9988787738671394,0.9987522842212384,0.9967456305670694,1.0039226729951327,1.0039655001980756,1.0052575371519759
r15,0.9937048206111232,0.9986768905097062,0.9896028894653276,0.992276159391598,1.0003201028572428,0.987614379752314,0.9965610822287752,1.000976751303418,1.0010738164614554,0.9993494512768709,0.9943763205568888,0.9983350408137774,1.0043294773359488,0.99626007415672,0.997796143542926,1.0017256912113337,0.9987026154286394,0.9968660683810778,0.9986766253043564,0.9979380284050844,0.9951472725088402,1.0001540843082504,0.9972604287362729,0.999904260868712,0.997627738145785,1.0011854679137329,0.9993582030534152,0.9937629005827358,0.99731081775274,0.9883012616083696,0.9914150376207048,0.9870216457954476,0.9932635189090091,0.9917669651199272,0.9963399009670184,0.9958935603632572,0.9938745520350136,0.9913482058725482,0.9911447933692298,0.9915508227598172,0.9969758633959068,0.9877308049008888,0.9984079722849802,1.0037425778967783,1.0,0.9984851470417804,0.9937920731712168,0.9938750824457132,0.9967122492781774,0.9956885566278396,0.9900916629250612
r16a,0.98978485197722,1.011313532762766,0.9923784334790388,0.9895225765081052,0.9977604620580014,0.9921362676841218,1.0070086463102006,1.0069766407723926,0.9960964573268466,0.9976627460354909,1.0024253400021923,1.0025601597897718,1.003766740241639,0.9950348931170816,1.0011170782399446,0.999791539151978,0.9979193568076484,0.9947890452691424,0.9975939199674619,0.9973594015134368,0.9935212860901383,0.9948850618825656,0.9935306328401176,1.0029680179706846,0.9907308563690594,1.0016733514811342,0.9910557267395506,0.9956755703429322,0.9940141147254079,0.9827968818109128,0.993758353657794,0.9955175252978286,0.9976862545278632,0.9963853568716596,1.0010845062324412,0.9968385326282296,0.9969529595067632,0.9941783909371646,0.9980558760043152,0.9920088120025864,0.9968951795978008,0.986122342159592,0.9976018505432018,1.0014343012695437,1.0,1.000925328247946,0.9970260340975104,0.9929975848564524,0.9969365318855881,0.9914024061933264,0.9860679610688038
r17,0.9742346046761088,0.9873040995480584,0.9899124248407424,0.9965732373888878,0.9939281047641834,0.9956903872394238,0.9880954571865004,0.9964036607520791,0.9924978770056708,0.9941381694662149,0.9976180397992424,0.9973020225628944,0.9993408858473181,0.989986302414298,0.9940748082732368,1.0007182687934295,0.996286403108642,0.9932032632328932,0.998681771694636,0.9983299987643254,0.9939801608480409,0.9959777473386984,0.9996563772646369,1.0029393283713546,0.9944478768742162,0.9994591951288124,0.995162727843958,0.9958000205069424,0.995283140401568,0.995277093482736,0.9963216329835762,1.0056935684445485,0.9972276191703102,0.9978641231047509,1.002267857471494,0.9978572874573758,0.9968519214741862,0.9990464271911536,1.000931488409634,0.9945664490652252,0.9897646696936316,0.9942625256665414,0.9971271877357968,0.9995351759784836,1.0,1.0002005999595118,0.9968792640636872,0.9926900638607212,0.9972602199501001,0.9890243165009898,0.9889128428668704
