Line Name,Omics Sample ID,Strain (ICE),Genotype,growth_rate,glucose_uptake_rates (mmol/gDCW * hr),3hp_secretion_rates (mmol/gDCW * hr)
SF ABF93_12-R3,An_ZD_SF93_M_87,ABF_008897,"panD++, bapat++, hpdh++, pyc+, mfs+",0.04084754470568938,17.823326919165602,8.057464717885589
SF ABF93_13-R1,An_ZD_SF93_M_88,ABF_008898,"panD+, bapat+, hpdh+, pyc+, mfs+",0.03923508676872238,20.816491968209334,6.485107830498121
SF ABF93_13-R2,An_ZD_SF93_M_89,ABF_008898,"panD+, bapat+, hpdh+, pyc+, mfs+",0.04464270963586478,14.335329083067649,4.7052828638238005
SF ABF93_13-R3,An_ZD_SF93_M_90,ABF_008898,"panD+, bapat+, hpdh+, pyc+, mfs+",0.04018544980603196,19.62935597949217,6.913340814402977
SF ABF93_14-R1,An_ZD_SF93_M_91,ABF_008899,"panD++, bapat++, hpdh++, pyc+, ΔoahA",0.04213217810953918,17.70608570787509,8.813734461550615
SF ABF93_14-R2,An_ZD_SF93_M_92,ABF_008899,"panD++, bapat++, hpdh++, pyc+, ΔoahA",0.04276874889177392,17.465623191736164,8.21701026372025
SF ABF93_14-R3,An_ZD_SF93_M_93,ABF_008899,"panD++, bapat++, hpdh++, pyc+, ΔoahA",0.040384819026357086,20.16251087455724,11.27995171735394
SF ABF93_15-R1,An_ZD_SF93_M_94,ABF_008900,"panD++, bapat++, hpdh++, pyc+, uga2+",0.04284418574957407,17.738144438332046,9.203968202482972
SF ABF93_15-R2,An_ZD_SF93_M_95,ABF_008900,"panD++, bapat++, hpdh++, pyc+, uga2+",0.04219988035430978,18.98662022913795,9.741029312002503
SF ABF93_15-R3,An_ZD_SF93_M_96,ABF_008900,"panD++, bapat++, hpdh++, pyc+, uga2+",0.04014911097611738,22.0312526498736,10.610719577947618
SF ABF93_17-R1,An_ZD_SF93_M_100,ABF_009101,"panD+, bapat+, hpdh+, pyc+, aat+ (rebuild)",0.03977054695829271,19.474229488760933,4.99724980985416
SF ABF93_17-R2,An_ZD_SF93_M_101,ABF_009101,"panD+, bapat+, hpdh+, pyc+, aat+ (rebuild)",0.04087096226394995,17.727479248655072,4.958145019293983
SF ABF93_17-R3,An_ZD_SF93_M_102,ABF_009101,"panD+, bapat+, hpdh+, pyc+, aat+ (rebuild)",0.042775748709926766,15.346138012031508,4.5798713638583495
