Formal Type,SF ABF93_1-R1,SF ABF93_1-R2,SF ABF93_1-R3,SF ABF93_10-R1,SF ABF93_10-R2,SF ABF93_10-R3,SF ABF93_11-R1,SF ABF93_11-R2,SF ABF93_11-R3,SF ABF93_12-R1,SF ABF93_12-R2,SF ABF93_12-R3,SF ABF93_13-R1,SF ABF93_13-R2,SF ABF93_13-R3,SF ABF93_14-R1,SF ABF93_14-R2,SF ABF93_14-R3,SF ABF93_15-R1,SF ABF93_15-R2,SF ABF93_15-R3,SF ABF93_16-R1,SF ABF93_16-R2,SF ABF93_16-R3,SF ABF93_17-R1,SF ABF93_17-R2,SF ABF93_17-R3,SF ABF93_2-R1,SF ABF93_2-R2,SF ABF93_2-R3,SF ABF93_3-R1,SF ABF93_3-R2,SF ABF93_3-R3,SF ABF93_4-R1,SF ABF93_4-R2,SF ABF93_4-R3,SF ABF93_5-R1,SF ABF93_5-R2,SF ABF93_5-R3,SF ABF93_6-R1,SF ABF93_6-R2,SF ABF93_6-R3,SF ABF93_7-R1,SF ABF93_7-R2,SF ABF93_7-R3,SF ABF93_8-R1,SF ABF93_8-R2,SF ABF93_8-R3,SF ABF93_9-R1,SF ABF93_9-R2,SF ABF93_9-R3
MNT,-0.5440215668817778,-0.569915651144612,0.06348621715795133,-0.10306078374490468,-0.29764819413252397,-0.1617029117610258,-0.7016740097932761,-0.2483289927017367,-0.051807137737178266,-0.18584678319350445,-0.21230450686502778,0.11049122466824812,0.04828455003718091,-0.4555562466018479,-0.18429385585801228,-0.13816140404625088,-0.08813238621804942,-0.0019242454087482486,-0.5084100716145592,0.008805287732769784,-0.6052447624081907,-0.06567744031929834,-0.40898786341976745,0.17791259663685466,-0.10368261481039198,0.02108611402325522,-0.510384765071418,-0.22263699546961746,-0.16856890071410646,-0.07777393886362916,0.11834475502939412,0.08790069367611153,-0.13492074479448135,0.06786659997602484,0.013750182916183462,-0.3161575813821038,0.16665774313213788,-0.16727056718065825,-0.237778018148461,0.23161537519926867,0.03865942640766562,0.01570674457856569,-0.012179543740884924,0.1024249249590028,0.0,-0.1106061679159609,-0.13843973529928277,-0.13254431781571085,-0.04449969547672339,-0.2151529175821274,-0.15996818108796518
AOL,-2.9638722002426015,-0.2935653854448361,-0.536155824355113,-1.8006435158568692,-0.2721792299268202,-1.22869824496928,-0.6333710724303039,-1.216555284204631,-0.37625075294952737,-1.1936213480273743,-0.1857291634154521,-0.01889704697727268,-0.4153761703243539,-1.226867292589688,-1.033725744633518,-0.24576757624150858,-0.8658689555247783,-0.11173033663214582,-2.0677151531770583,0.10553532382032316,-1.8607543345853443,-0.4352907898465084,-1.918674549558002,-0.16088965448975756,-2.028682499913703,-0.24971765737090124,-0.8390992416700556,-0.24009573926730354,-0.026829804805370117,-1.061346837880592,-0.5552174113144162,-0.6004043044759051,-0.38090689565292024,-0.33076769607262335,-0.712979569833589,-0.39985841598646843,-0.10159667323179633,-0.3865955079914407,0.23226408158316048,-0.17225304058885982,-0.32210812969291425,0.09565507512305516,0.2933511133988915,0.060225593571566094,0.0,-0.3040552114183832,-0.98555917758652,-0.8296498940586403,-0.9625166328793071,-1.081043000723895,-2.1894655432304937
ORN,-0.7523780503103872,0.3557531898760118,0.43366701160094934,-0.4503603016253521,0.10233210775218282,-0.1645326072180282,-0.009866407237296926,-0.5463259985075481,0.2298643721813427,-0.6342325413052308,0.10217299789875156,0.1742917090803786,0.33928712530076055,-0.0022510135008886323,0.1193361487253739,-0.2036376360731893,-0.43445044243791386,-0.2425018495543263,-1.8392878717236165,0.29868404891439937,-1.3472323198163636,0.2202635245807265,-0.33256224333135975,0.33750395534372757,-0.13440531637638387,0.33948222885916834,0.0018339811985974563,0.26240582829596093,0.4889215340405748,0.17324977762224592,0.32032032621066975,0.32181129332249725,0.19968022834342491,0.16053283523307726,0.1715342429288711,0.18832965194375717,-0.17538211308754725,-0.44144976665417346,0.20488660409036896,0.3994429207261092,-0.6905800536451068,0.41358860685404863,-0.054702145411983594,-0.19969094221682582,0.0,0.45040911682144014,0.2571154942491951,0.27641861981000204,0.1757368887291939,-0.185149997837307,-0.08867848727601668
SER,-2.4899002153089853,-4.4022775003677985,0.5235708538616102,-1.379669597941998,-0.6444300913043328,-0.5965430293803138,-1.7008702763914485,-1.0833935856511978,-0.14065330433792766,-1.3920446326941445,-0.18630830693549072,-0.8306259899015167,-0.9865349702682344,-0.858938516867525,-0.36472526519654025,-0.22761099881350333,-1.0498944685622824,-1.0690413232926197,-3.5241231428167534,0.7716013483155315,-3.36240338569578,0.29574327720229476,-1.3155279700132887,0.13713860784985243,-1.04616010115436,0.45745873330889,-0.9996838645842807,0.7432265048850759,1.1644853765236114,-0.004550801331987486,0.1399754481917519,0.8379262643228209,0.28810206198128796,0.13151896794493467,0.3052252038227863,0.26149863137968055,0.020119279049307437,-0.3643426387493669,0.5670563338413466,1.036499943362724,0.04254394545789353,0.7145625629694976,0.20338910606557903,-0.2538751654355309,0.0,0.7965694767915927,0.27537829403259195,0.12379803803964862,-0.630236384270507,-1.0363845030667562,-0.5572865924620842
TYR,2.686721053004959,2.889631935205939,3.309223221775211,0.15961770905705563,0.008169636421301973,0.37251545307858613,2.925807890904636,2.6403973055352985,2.241722201628333,2.567164096738045,2.4182332136345366,3.694960928647566,2.0353609631705893,2.6337978872036185,2.9051473504466916,3.459377684076509,2.6049428106302805,-0.3454579677683167,2.3468687707092073,1.9406841128492864,2.100097178664356,1.0086007960266539,2.5255236467098907,0.825228811547353,0.38955013335741207,1.8568915350684616,2.58347050131961,3.7415211154968357,4.331950992606826,2.8656397285722957,1.8068583539665077,2.688584532334584,1.713418574969383,1.4463869287514868,1.1683170963000862,0.7989187931945736,1.1257155746209158,1.1340765596983342,1.9411443484063646,1.9314556254438138,2.9765886513989823,1.9838715952011565,2.63582354485699,0.49712492130541186,0.0,2.384198217976099,1.695277569645441,1.7129901835405335,0.7425261982956695,2.5093400408333526,0.7298469011370372
VAL,-2.267587183344446,-3.5792874428357546,0.009215044508074755,-1.5497777178097003,-1.2169431113773541,-0.9716525595407539,-2.030052020096587,-0.730957345880693,-1.1334872390218287,-1.9902151062763487,-0.10316668743591606,-1.1087627141506573,-0.8648105410157569,-1.3537778305184354,-0.986593451763305,-1.4786926105211826,-0.8909322690094363,-1.1231281575523901,-3.697715244201669,-0.5182150753955455,-2.5813190848453775,-0.2989249122918025,-0.9612999293331157,-0.9908441765109472,-0.2409703200557054,0.06069233421909104,-1.1471332665294014,0.27862641569204527,0.6316205150532177,0.28423859072793434,-0.7013777725764179,0.5854849109907327,0.13439485697928077,-0.41287730812775436,0.2925356881801662,-0.2312030724357257,-0.36534325440376847,-1.0259486737003947,0.07624246396528633,0.1516261183510217,-0.581430281243879,-0.07651484546381226,-0.6926286688006194,-0.4578769003746146,0.0,-0.5136188030242721,-0.10945556676222168,-0.0004884539653744469,-1.0398301425024385,-1.1502846580009845,-1.0032092707142617
PHE,-1.141340689598799,-0.7748356927681392,0.8363601143084836,-1.3067425606709673,-0.1651177777545314,-0.31323720092143503,-0.30276968148355365,-0.4228903469615872,-0.0166956421483917,-0.8940736308807864,-0.19037322165360493,0.0011292848995054783,0.1444442771993586,-0.2539131628499085,-0.22019452194004074,-0.4515358362874231,-1.3550517550482795,-0.6764262035682016,-3.0515767535352545,0.344032572903199,-2.292611273839995,0.2415569078857338,-1.4225254002800192,0.34753850515836504,-1.259172548500402,0.5300581092518897,-0.7530422281781739,1.1874587103902208,1.8490964173157458,0.7584041128346826,0.28196889245321444,1.1093981895499212,0.08415458739724357,-0.062080007784487634,0.22435164997119017,0.2358396577677233,-0.41253517543617235,-0.29844916982505865,1.1117317071386985,0.5932286143227294,0.8421035781494837,1.0868971758985886,0.01754280718747836,-0.536721748068544,0.0,0.79938155905635,0.0973071362483715,0.19110163965159543,-0.31540081645520246,-1.3033809962106808,-0.13748276283478233
ALA,-1.5848494528876174,-0.9176621081070238,0.04408886087143671,-2.4229829442871385,-1.4988652583163393,-2.5251463770133142,-0.6155973273282136,-0.967740005311672,-0.37040674349924174,-2.4635040718826957,0.2898189845297843,-2.169402946470484,-0.9461326614439152,-1.6018542269019598,-1.4282645723903222,-1.9707351884203739,-0.5109196141890564,-1.055614693144328,-3.6784427431465403,-1.0541419366108045,-3.4392831232915917,-0.6012416238626592,-0.6791391285167805,-0.7438271442288382,0.31757372941796547,-0.025507357548359977,-1.1150948631047264,-0.5951288875196212,0.36792628315678044,-0.27224218583486604,-0.8445116536916295,-1.3149799932097643,-0.6386528637884723,-1.678621616805792,-1.2274232069003084,-0.9922915309728246,-1.1696836480263286,-2.2163942558334284,-0.354266057148795,-0.7730716486351881,-1.167854118971654,-1.2195383721039015,-0.8891541324850785,-0.7042163149043184,0.0,-1.6685889479894058,-1.2204327808313664,-1.915309778643536,-1.0152400413060256,-0.7183233241423501,-2.380704427813402
EOL,-0.9347387972541128,0.2759245994581043,-0.0726572915036634,-0.6929941045226897,-0.2063534307705197,-0.7030748897352126,-0.18675580632424627,-0.42127263521402725,0.017756801150440538,-0.4158561984719462,-0.12123052921016253,0.1377924559887873,0.025268421007631048,-0.5424575846464919,-0.3812853191203196,0.011103835619337588,-0.5056684169162544,-0.2708373355072382,-1.102755345767811,0.06771074942114552,-1.2377383512110072,-0.2838982097837004,-0.8688036545227469,-0.18554142489574588,-0.8671036073959648,-0.14647365390963074,-0.3728739781958126,-0.00550790220130537,0.08598645024744656,-0.14659172077049476,-0.1915376827975237,-0.21765864776742916,-0.30842149525967244,-0.17280828352706834,-0.3020185087426164,-0.2575038072707869,-0.14966073535912372,-0.3271880063056436,-0.09921229537231113,0.2173144651153862,0.11032975307085024,0.20836937938791067,0.28609150608978595,0.13655212856306065,0.0,0.10652190692735886,-0.2539475005168548,-0.1956704427036513,-0.40892526570761234,-0.40387762815696604,-1.042513758234552
RIB,-2.2434399164453964,-1.1047003058740685,0.5729605716000492,-0.2491571827677781,-0.16428281557486457,-0.22170198104321415,-0.3115269062843602,-0.636881096511857,-0.030547667824439628,-0.9953329898716632,-0.47452178352024177,-0.0895164780402915,-0.18833629107437488,-0.664356668316664,-0.844177345309248,0.1819717217679191,-0.22965347729086005,-0.41768795705248607,-1.1099589289027776,0.7600429760562797,-1.589972031195746,1.081983617834016,-1.3009721895858988,-0.10487823741240732,-1.3541234330435437,0.754503524960839,-0.36696409490538784,0.8823703180112723,1.5204455800610042,0.38345632626603177,0.40726726632325594,2.5241322645515822,1.1047509440347838,1.397794897660333,1.2551078419581252,1.0368367519335386,1.5622920881521267,0.5194987853625967,0.9296972908589396,1.752478743110526,0.059199972642687726,1.1203402868852201,0.01688582326753263,0.07840171643901783,0.0,0.8718972025296523,0.4689190686272653,0.4484944198540788,-0.38847669906403937,-0.4974047877089198,-1.0191759056060796
