ID,Entry name
jgi|Aspni7|1020930,G3Y2T0
jgi|Aspni7|1021014,G3XQ86
jgi|Aspni7|1021017,G3Y2V2
jgi|Aspni7|1021190,G3XZQ6
jgi|Aspni7|1021250,G3YF34
jgi|Aspni7|1021282,G3Y348
jgi|Aspni7|1021290,G3Y350
jgi|Aspni7|1021297,G3YDL8
jgi|Aspni7|1021407,G3Y3A6
jgi|Aspni7|1021442,G3Y3B2
jgi|Aspni7|1021467,G3Y3B7
jgi|Aspni7|1021657,G3Y3E4
jgi|Aspni7|1021683,G3Y3F5
jgi|Aspni7|1021731,G3Y3G3
jgi|Aspni7|1021733,G3XYT9
jgi|Aspni7|1021736,G3Y0K4
jgi|Aspni7|1021737,G3Y2A6
jgi|Aspni7|1021844,G3YGD9
jgi|Aspni7|1021873,G3XWT3
jgi|Aspni7|1021929,G3XVR4
jgi|Aspni7|1022190,G3Y3R0
jgi|Aspni7|1022303,G3Y3U0
jgi|Aspni7|1022562,G3Y0Q6
jgi|Aspni7|1022835,G3Y111
jgi|Aspni7|1022934,G3Y128
jgi|Aspni7|1022942,G3XRZ8
jgi|Aspni7|1022988,G3YES8
jgi|Aspni7|1023006,G3Y1A0
jgi|Aspni7|1023059,G3Y1A8
jgi|Aspni7|1023362,G3XUM4
jgi|Aspni7|1023466,G3Y4L3
jgi|Aspni7|1023555,G3Y1X0
jgi|Aspni7|1023568,G3Y224
jgi|Aspni7|1024175,G3XZ20
jgi|Aspni7|1024201,G3Y2W7
jgi|Aspni7|1024304,G3Y2Y2
jgi|Aspni7|1024420,G3Y305
jgi|Aspni7|1024649,G3XRK2
jgi|Aspni7|1024802,G3Y446
jgi|Aspni7|1024820,G3Y450
jgi|Aspni7|1025325,G3YA12
jgi|Aspni7|1025436,G3XX24
jgi|Aspni7|1025773,G3Y4S9
jgi|Aspni7|1025854,G3Y4U5
jgi|Aspni7|1025889,G3Y4V1
jgi|Aspni7|1025894,G3Y4V0
jgi|Aspni7|1026215,G3Y574
jgi|Aspni7|1026310,G3XMM6
jgi|Aspni7|1026311,G3XSV6
jgi|Aspni7|1026385,G3Y5B9
jgi|Aspni7|1026416,G3Y5C2
jgi|Aspni7|1026599,G3XSM8
jgi|Aspni7|1026638,G3Y9A9
jgi|Aspni7|1026798,G3Y5K4
jgi|Aspni7|1026907,G3Y418
jgi|Aspni7|1026989,G3Y7H0
jgi|Aspni7|1027028,G3Y5Q8
jgi|Aspni7|1027115,G3Y5S8
jgi|Aspni7|1027184,G3Y9J0
jgi|Aspni7|1027256,G3Y5V5
jgi|Aspni7|1027386,G3Y5X5
jgi|Aspni7|1027508,G3Y5Z8
jgi|Aspni7|1027613,G3Y665
jgi|Aspni7|1027809,G3Y662
jgi|Aspni7|1027901,G3Y672
jgi|Aspni7|1028120,G3Y6C8
jgi|Aspni7|1028197,G3Y6G8
jgi|Aspni7|1028281,G3XPR7
jgi|Aspni7|1028341,G3Y6J6
jgi|Aspni7|1028444,G3Y6M0
jgi|Aspni7|1028516,G3XNY2
jgi|Aspni7|1028538,G3Y6N4
jgi|Aspni7|1028539,G3Y931
jgi|Aspni7|1028722,G3Y505
jgi|Aspni7|1029013,G3XMJ6
jgi|Aspni7|1029021,G3Y607
jgi|Aspni7|1029101,G3Y700
jgi|Aspni7|1029149,G3Y705
jgi|Aspni7|1029872,G3Y190
jgi|Aspni7|1030027,G3Y786
jgi|Aspni7|1030086,G3Y789
jgi|Aspni7|1030126,G3Y7A0
jgi|Aspni7|1030262,G3Y7C0
jgi|Aspni7|1030265,G3Y7B9
jgi|Aspni7|1030466,G3XQI2
jgi|Aspni7|1030479,G3Y7F6
jgi|Aspni7|1031029,G3Y5Q4
jgi|Aspni7|1031156,G3YD20
jgi|Aspni7|1031190,G3Y9V6
jgi|Aspni7|1031201,G3Y9V8
jgi|Aspni7|1031231,G3Y9W3
jgi|Aspni7|1031266,G3XM54
jgi|Aspni7|1031277,G3Y9W9
jgi|Aspni7|1031305,G3Y9X6
jgi|Aspni7|1031436,G3XM10
jgi|Aspni7|1031996,G3Y8N0
jgi|Aspni7|1032162,G3Y8R1
jgi|Aspni7|1032309,G3Y8X5
jgi|Aspni7|1032373,G3Y7J9
jgi|Aspni7|1032479,G3Y904
jgi|Aspni7|1032586,G3Y925
jgi|Aspni7|1032626,G3Y932
jgi|Aspni7|1032669,G3Y938
jgi|Aspni7|1032955,G3Y9A4
jgi|Aspni7|1033753,G3Y9Q4
jgi|Aspni7|1033854,G3Y7Q7
jgi|Aspni7|1033856,G3Y1G8
jgi|Aspni7|1033863,G3YAP4
jgi|Aspni7|1033921,G3YA79
jgi|Aspni7|1034818,G3YBW8
jgi|Aspni7|1034938,G3YDJ8
jgi|Aspni7|1035040,G3YC55
jgi|Aspni7|1035098,G3Y5N3
jgi|Aspni7|1035138,G3YCQ8
jgi|Aspni7|1035270,G3YCB7
jgi|Aspni7|1035443,G3YCF3
jgi|Aspni7|1035818,G3YCV2
jgi|Aspni7|1035868,G3YCW4
jgi|Aspni7|1035884,G3YCW6
jgi|Aspni7|1035974,G3Y7L2
jgi|Aspni7|1036334,G3YAS8
jgi|Aspni7|1036562,G3YFS2
jgi|Aspni7|1036678,G3YB82
jgi|Aspni7|1036923,G3YBH1
jgi|Aspni7|1037290,G3YBY6
jgi|Aspni7|1037314,G3YBY9
jgi|Aspni7|1037649,G3YC91
jgi|Aspni7|1037683,G3YC95
jgi|Aspni7|1037827,G3YDE0
jgi|Aspni7|1037828,G3YDD2
jgi|Aspni7|1037927,G3YDG6
jgi|Aspni7|1037993,G3Y851
jgi|Aspni7|1038112,G3YDM4
jgi|Aspni7|1038150,G3YDM9
jgi|Aspni7|1038151,G3YHC5
jgi|Aspni7|1038162,G3YDN1
jgi|Aspni7|1038713,G3YE07
jgi|Aspni7|1038787,G3YE19
jgi|Aspni7|1038793,G3XX79
jgi|Aspni7|1038839,G3YE28
jgi|Aspni7|1039076,G3YE74
jgi|Aspni7|1039105,G3YE84
jgi|Aspni7|1039119,G3YE85
jgi|Aspni7|1039138,G3YE89
jgi|Aspni7|1039269,G3XXL1
jgi|Aspni7|1039419,G3YEF8
jgi|Aspni7|1039502,G3YEH4
jgi|Aspni7|1039564,G3Y5B3
jgi|Aspni7|1039604,G3YFX9
jgi|Aspni7|1039714,G3YEL0
jgi|Aspni7|1039744,G3YEL5
jgi|Aspni7|1039771,G3YEL9
jgi|Aspni7|1039803,G3YEM8
jgi|Aspni7|1040120,G3YFG5
jgi|Aspni7|1040138,G3YFH1
jgi|Aspni7|1040366,G3YFS8
jgi|Aspni7|1040367,G3Y461
jgi|Aspni7|1040620,G3YG78
jgi|Aspni7|1040652,G3YG84
jgi|Aspni7|1041156,G3YGS2
jgi|Aspni7|1041244,G3Y6S9
jgi|Aspni7|1041256,G3YGU0
jgi|Aspni7|1041322,G3YH10
jgi|Aspni7|1041349,G3YH19
jgi|Aspni7|1041387,G3XZ14
jgi|Aspni7|1041432,G3XQV0
jgi|Aspni7|1041447,G3YH32
jgi|Aspni7|1041533,G3YH58
jgi|Aspni7|1041659,G3YHA5
jgi|Aspni7|1041677,G3YHA8
jgi|Aspni7|1041895,G3YHF3
jgi|Aspni7|1041976,G3YHH3
jgi|Aspni7|1042149,G3YHK6
jgi|Aspni7|1042150,G3XPI8
jgi|Aspni7|1042205,G3YHL9
jgi|Aspni7|1042365,G3YEQ6
jgi|Aspni7|1042368,G3YEQ7
jgi|Aspni7|1042858,G3YF35
jgi|Aspni7|1042988,G3YFD2
jgi|Aspni7|1043165,G3Y9K2
jgi|Aspni7|1043184,G3YFN2
jgi|Aspni7|1043257,G3YFU0
jgi|Aspni7|1043406,G3YFW4
jgi|Aspni7|1043625,G3Y617
jgi|Aspni7|1043628,G3YG50
jgi|Aspni7|1044083,G3XM94
jgi|Aspni7|1059297,G3YFA9
jgi|Aspni7|1059537,G3YH84
jgi|Aspni7|1062100,G3XS33
jgi|Aspni7|1069255,G3XWH1
jgi|Aspni7|1070031,G3XNZ9
jgi|Aspni7|1070496,G3XWE4
jgi|Aspni7|1071046,G3Y1C6
jgi|Aspni7|1072577,G3XUW1
jgi|Aspni7|1073439,G3Y0E1
jgi|Aspni7|1074043,G3XVS5
jgi|Aspni7|1075581,G3Y958
jgi|Aspni7|1076118,G3XUQ8
jgi|Aspni7|1076151,G3Y178
jgi|Aspni7|1077096,G3Y5J5
jgi|Aspni7|1079432,G3XMB7
jgi|Aspni7|1079439,G3XMW8
jgi|Aspni7|1079444,G3XLZ6
jgi|Aspni7|1079445,G3XM87
jgi|Aspni7|1079484,G3XMC1
jgi|Aspni7|1079509,G3XM62
jgi|Aspni7|1079543,G3XM50
jgi|Aspni7|1079552,G3XMN5
jgi|Aspni7|1079556,G3XMC9
jgi|Aspni7|1079562,G3XM84
jgi|Aspni7|1079565,G3XMY4
jgi|Aspni7|1079566,G3XMA5
jgi|Aspni7|1079570,G3XM43
jgi|Aspni7|1079597,G3XM47
jgi|Aspni7|1079652,G3XLN6
jgi|Aspni7|1079697,G3XMD3
jgi|Aspni7|1079715,G3XLW1
jgi|Aspni7|1079718,G3XM91
jgi|Aspni7|1079763,G3XM59
jgi|Aspni7|1079768,G3XLZ1
jgi|Aspni7|1079779,G3XLI2
jgi|Aspni7|1079815,G3XM82
jgi|Aspni7|1079847,G3XMD8
jgi|Aspni7|1079852,G3XMC5
jgi|Aspni7|1079869,G3XMF4
jgi|Aspni7|1079885,G3XLG6
jgi|Aspni7|1079928,G3XM70
jgi|Aspni7|1079930,G3XMX6
jgi|Aspni7|1079931,G3XME4
jgi|Aspni7|1079950,G3XMB2
jgi|Aspni7|1080018,G3XLW3
jgi|Aspni7|1080076,G3XM02
jgi|Aspni7|1080084,G3XM85
jgi|Aspni7|1080089,G3XMC4
jgi|Aspni7|1080105,G3XMY7
jgi|Aspni7|1080130,G3XM49
jgi|Aspni7|1080145,G3XLY7
jgi|Aspni7|1080149,G3XLL4
jgi|Aspni7|1080155,G3XMC3
jgi|Aspni7|1080182,G3XM95
jgi|Aspni7|1080257,G3XMD7
jgi|Aspni7|1080269,G3XM77
jgi|Aspni7|1080271,G3XMN4
jgi|Aspni7|1080274,G3XMI4
jgi|Aspni7|1080276,G3XLP8
jgi|Aspni7|1080307,G3XM45
jgi|Aspni7|1080335,G3XP19
jgi|Aspni7|1080372,G3XP74
jgi|Aspni7|1080396,G3XPD6
jgi|Aspni7|1080399,G3XP99
jgi|Aspni7|1080445,G3XNS6
jgi|Aspni7|1080454,G3XNJ7
jgi|Aspni7|1080524,G3XNT1
jgi|Aspni7|1080565,G3XPJ4
jgi|Aspni7|1080567,G3XNP4
jgi|Aspni7|1080578,G3XNM9
jgi|Aspni7|1080610,G3XN98
jgi|Aspni7|1080625,G3XNG2
jgi|Aspni7|1080634,G3XPF6
jgi|Aspni7|1080687,G3XP45
jgi|Aspni7|1080702,G3XN69
jgi|Aspni7|1080767,G3XP69
jgi|Aspni7|1080774,G3XNZ1
jgi|Aspni7|1080805,G3XNB0
jgi|Aspni7|1080824,G3XNM5
jgi|Aspni7|1080857,G3XNS3
jgi|Aspni7|1080867,G3XNP0
jgi|Aspni7|1080879,G3XNW6
jgi|Aspni7|1080884,G3XNB2
jgi|Aspni7|1080892,G3XPC3
jgi|Aspni7|1080899,G3XNY6
jgi|Aspni7|1080959,G3XNM6
jgi|Aspni7|1081015,G3XPE1
jgi|Aspni7|1081018,G3XPL4
jgi|Aspni7|1081084,G3XND6
jgi|Aspni7|1081161,G3XND3
jgi|Aspni7|1081197,G3XN57
jgi|Aspni7|1081232,G3XN29
jgi|Aspni7|1081265,G3XNS1
jgi|Aspni7|1081278,G3XNB5
jgi|Aspni7|1081330,G3XP76
jgi|Aspni7|1081335,G3XN39
jgi|Aspni7|1081342,G3XP40
jgi|Aspni7|1081363,G3XP94
jgi|Aspni7|1081391,G3XNA4
jgi|Aspni7|1081417,G3XNV1
jgi|Aspni7|1081427,G3XND0
jgi|Aspni7|1081473,G3XN96
jgi|Aspni7|1081487,G3XP35
jgi|Aspni7|1081492,G3XNL9
jgi|Aspni7|1081495,G3Y9W1
jgi|Aspni7|1081516,G3XQ41
jgi|Aspni7|1081526,G3XPZ9
jgi|Aspni7|1081533,G3XQ71
jgi|Aspni7|1081535,G3XQD9
jgi|Aspni7|1081543,G3XQ38
jgi|Aspni7|1081547,G3XQ12
jgi|Aspni7|1081550,G3XPT8
jgi|Aspni7|1081596,G3XQD1
jgi|Aspni7|1081637,G3XPP0
jgi|Aspni7|1081649,G3XQG0
jgi|Aspni7|1081653,G3XPN1
jgi|Aspni7|1081705,G3XPX8
jgi|Aspni7|1081717,G3XPV1
jgi|Aspni7|1081722,G3XQG3
jgi|Aspni7|1081783,G3XPU5
jgi|Aspni7|1081788,G3XQ85
jgi|Aspni7|1081814,G3XPM5
jgi|Aspni7|1081858,G3XQD2
jgi|Aspni7|1081905,G3XQ31
jgi|Aspni7|1081923,G3XPW2
jgi|Aspni7|1081938,G3XPP1
jgi|Aspni7|1081950,G3XQ70
jgi|Aspni7|1081951,G3XPU6
jgi|Aspni7|1082022,G3XTR4
jgi|Aspni7|1082053,G3XTI1
jgi|Aspni7|1082065,G3XT95
jgi|Aspni7|1082084,G3XTD7
jgi|Aspni7|1082102,G3XT27
jgi|Aspni7|1082117,G3XR76
jgi|Aspni7|1082121,G3XR00
jgi|Aspni7|1082157,G3XSI0
jgi|Aspni7|1082219,G3XQW6
jgi|Aspni7|1082229,G3XSH0
jgi|Aspni7|1082257,G3XTP1
jgi|Aspni7|1082270,G3XTA5
jgi|Aspni7|1082298,G3XSG5
jgi|Aspni7|1082325,G3XRH7
jgi|Aspni7|1082346,G3XRV3
jgi|Aspni7|1082387,G3XQS3
