Entry name,Transcript
A7U8C7,PAND_Tribolium_castaneum
C2ZAL1,BAPAT_Bacillus_cereus
P3983,HPDH_escherichia_coli
ABF_005934,PAND_Tribolium_castaneum
ABF_005935,BAPAT_Bacillus_cereus
ABF_005936,HPDH_escherichia_coli
G3YDD2,1037828
G3YDG6,1037927
G3Y851,1037993
G3YDM4,1038112
G3YDM9,1038150
G3YHC5,1038151
G3YDN1,1038162
G3YE07,1038713
G3YE19,1038787
G3XX79,1038793
G3YE28,1038839
G3YE74,1039076
G3YE84,1039105
G3YE85,1039119
G3YE89,1039138
G3XXL1,1039269
G3YEF8,1039419
G3YEH4,1039502
G3Y5B3,1039564
G3YFX9,1039604
G3YEL0,1039714
G3YEL5,1039744
G3YEL9,1039771
G3YEM8,1039803
G3YFG5,1040120
G3YFH1,1040138
G3YFS8,1040366
G3Y461,1040367
G3YG78,1040620
G3YG84,1040652
G3YGS2,1041156
G3Y6S9,1041244
G3YGU0,1041256
G3YH10,1041322
G3YH19,1041349
G3XZ14,1041387
G3XQV0,1041432
G3YH32,1041447
G3YH58,1041533
G3YHA5,1041659
G3YHA8,1041677
G3YHF3,1041895
G3YHH3,1041976
G3YHK6,1042149
G3XPI8,1042150
G3YHL9,1042205
G3YEQ6,1042365
G3YEQ7,1042368
G3YF35,1042858
G3YFD2,1042988
G3Y9K2,1043165
G3YFN2,1043184
G3YFU0,1043257
G3YFW4,1043406
G3Y617,1043625
G3YG50,1043628
G3XM94,1044083
G3YFA9,1059573
G3YH84,1059813
G3XS33,1062376
G3XWH1,1069531
G3XNZ9,1070307
G3XWE4,1070772
G3Y1C6,1071322
G3XUW1,1072853
G3Y0E1,1073715
G3XVS5,1074319
G3Y958,1075857
G3XUQ8,1076394
G3Y178,1076427
G3Y5J5,1077372
G3XMB7,1079708
G3XMW8,1079715
G3XLZ6,1079720
G3XM87,1079721
G3XMC1,1079760
G3XM62,1079785
G3XM50,1079819
G3XMN5,1079828
G3XMC9,1079832
G3XM84,1079838
G3XMY4,1079841
G3XMA5,1079842
G3XM43,1079846
G3XM47,1079873
G3XLN6,1079928
G3XMD3,1079973
G3XLW1,1079991
G3XM91,1079994
G3XM59,1080039
G3XLZ1,1080044
G3XLI2,1080055
G3XM82,1080091
G3XMD8,1080123
G3XMC5,1080128
G3XMF4,1080145
G3XLG6,1080161
G3XM70,1080204
G3XMX6,1080206
G3XME4,1080207
G3XMB2,1080226
G3XLW3,1080294
G3XM02,1080352
G3XM85,1080360
G3XMC4,1080365
G3XMY7,1080381
G3XM49,1080406
G3XLY7,1080421
G3XLL4,1080425
G3XMC3,1080431
G3XM95,1080458
G3XMD7,1080533
G3XM77,1080545
G3XMN4,1080547
G3XMI4,1080550
G3XLP8,1080552
G3XM45,1080583
G3XP19,1080611
G3XP74,1080648
G3XPD6,1080672
G3XP99,1080675
G3XNS6,1080721
G3XNJ7,1080730
G3XNT1,1080800
G3XPJ4,1080841
G3XNP4,1080843
G3XNM9,1080854
G3XN98,1080886
G3XNG2,1080901
G3XPF6,1080910
G3XP45,1080963
G3XN69,1080978
G3XP69,1081043
G3XNZ1,1081050
G3XNB0,1081081
G3XNM5,1081100
G3XNS3,1081133
G3XNP0,1081143
G3XNW6,1081155
G3XNB2,1081160
G3XPC3,1081168
G3XNY6,1081175
G3XNM6,1081235
G3XPE1,1081291
G3XPL4,1081294
G3XND6,1081360
G3XND3,1081437
G3XN57,1081473
G3XN29,1081508
G3XNS1,1081541
G3XNB5,1081554
G3XP76,1081606
G3XN39,1081611
G3XP40,1081618
G3XP94,1081639
G3XNA4,1081667
G3XNV1,1081693
G3XND0,1081703
G3XN96,1081749
G3XP35,1081763
G3XNL9,1081768
G3Y9W1,1081771
G3XQ41,1081792
G3XPZ9,1081802
G3XQ71,1081809
G3XQD9,1081811
G3XQ38,1081819
G3XQ12,1081823
G3XPT8,1081826
G3XQD1,1081872
G3XPP0,1081913
G3XQG0,1081925
G3XPN1,1081929
G3XPX8,1081981
G3XPV1,1081993
G3XQG3,1081998
G3XPU5,1082059
G3XQ85,1082064
G3XPM5,1082090
G3XQD2,1082134
G3XQ31,1082181
G3XPW2,1082199
G3XPP1,1082214
G3XQ70,1082226
G3XPU6,1082227
G3XTR4,1082298
G3XTI1,1082329
G3XT95,1082341
G3XTD7,1082360
G3XT27,1082378
G3XR76,1082393
G3XR00,1082397
G3XSI0,1082433
G3XQW6,1082495
G3XSH0,1082505
G3XTP1,1082533
G3XTA5,1082546
G3XSG5,1082574
G3XRH7,1082601
G3XRV3,1082622
G3XQS3,1082663
G3XRW1,1082676
G3XT89,1082677
G3XQY0,1082683
G3XQY2,1082686
G3XRF3,1082688
G3XQR0,1082713
G3XRZ8,1082781
G3XRV4,1082786
G3XS29,1082788
G3XRG8,1082792
G3XSA1,1082822
G3XSG8,1082870
G3XRE9,1082880
G3XQV9,1082902
G3XTI2,1082905
G3XS89,1082944
G3XTT2,1082997
G3XRI3,1083035
G3XTJ3,1083039
G3XTE0,1083060
G3XS44,1083102
G3Y3M4,1083124
G3XRL2,1083223
G3XQN9,1083231
G3XVI4,1083250
G3XT06,1083258
G3XQZ7,1083286
G3XS53,1083298
G3XRE6,1083393
G3XR64,1083399
G3XRL0,1083403
G3XPT8,1083416
G3XQM5,1083468
G3XSP0,1083470
G3XRJ6,1083476
G3XTS4,1083494
G3XQX4,1083628
G3XSS6,1083640
G3XSX8,1083649
G3XS91,1083718
G3XSV6,1083722
G3XQY9,1083739
G3XQG8,1083883
G3XRN8,1083908
G3XRE1,1083921
G3XSG3,1083952
G3XTF4,1083960
G3XSZ9,1083990
G3XTG6,1083991
G3XRD5,1084031
G3XS79,1084049
G3YCF7,1084052
G3XRH2,1084055
G3XRL6,1084091
G3XTE9,1084119
G3XR01,1084218
G3XTE1,1084236
G3XR23,1084237
G3XUM2,1084244
G3XU85,1084265
G3XUK7,1084285
G3XU02,1084317
G3XTY5,1084319
G3XUB1,1084325
G3XU69,1084354
G3XUB4,1084383
G3XUW3,1084419
G3XUA2,1084421
G3XU94,1084423
G3XUR5,1084435
G3XUA4,1084456
G3XUC8,1084465
G3XUJ4,1084476
G3XUJ2,1084484
G3XUE2,1084488
G3XU09,1084517
G3XUC2,1084520
G3XUQ0,1084541
G3XUL7,1084556
G3XUF5,1084560
G3XUQ1,1084565
G3XUF7,1084609
G3XUB5,1084635
G3XUD0,1084644
G3XUB0,1084656
G3XUQ9,1084685
G3XUT9,1084707
G3XTZ2,1084718
G3XUP4,1084766
G3XUM3,1084802
G3XU58,1084810
G3XTZ7,1084823
G3XUH3,1084829
G3XU52,1084867
G3XU77,1084875
G3XU20,1084941
G3XUT8,1084942
G3XU84,1084944
G3XUD9,1084972
G3XV24,1084981
G3XUL6,1085016
G3Y875,1085027
G3XUJ5,1085037
G3XUJ3,1085053
G3XUR4,1085070
G3XV00,1085071
G3XUU8,1085076
G3Y6C2,1085108
G3Y2D2,1085129
G3XVI6,1085171
G3XVY8,1085219
G3XW38,1085223
G3XV69,1085227
G3XW25,1085233
G3XVC1,1085237
G3XWI4,1085246
G3XVJ6,1085248
G3XV72,1085249
G3XV91,1085258
G3XWH8,1085297
G3XVX7,1085310
G3XV75,1085339
G3XVY4,1085362
G3XVH5,1085367
G3XVG2,1085421
G3XVB9,1085436
G3XVY6,1085446
G3XVM8,1085452
G3XVI9,1085459
G3XVM0,1085469
G3XW45,1085508
G3XVF8,1085521
G3XVR3,1085539
G3XWJ5,1085554
G3XVB3,1085560
G3XW51,1085561
G3XV45,1085603
G3XVB7,1085612
G3XVH1,1085714
G3XV97,1085733
G3XVP1,1085775
G3XV62,1085799
G3XW04,1085890
G3XWQ1,1085923
G3XWT1,1085941
G3XWL7,1085948
G3XWV8,1085961
G3XWQ0,1085963
G3XWN2,1085975
G3XWQ6,1086002
G3XWV9,1086024
G3XWU4,1086025
G3XWT6,1086028
G3XWT8,1086040
G3XWN3,1086052
G3XWS0,1086060
G3XWT7,1086064
G3XWL2,1086068
G3XWP3,1086075
G3XWQ5,1086082
G3XWN4,1086111
G3XWU5,1086118
G3XWW0,1086119
G3XWR1,1086126
G3XWN9,1086134
G3XWN5,1086164
G3YH69,1086166
G3XWP1,1086179
G3XX49,1086243
G3Y3Y0,1086290
G3XLY7,1086301
G3XX76,1086333
G3XYB2,1086390
G3XXM9,1086399
G3XX62,1086452
G3Y9Z5,1086496
G3XY81,1086514
G3XY91,1086628
G3XXA3,1086646
G3XX64,1086652
G3XXL1,1086653
G3XXR4,1086696
G3XXZ1,1086698
G3XX83,1086704
G3XXG7,1086744
G3XXN2,1086853
G3XWZ8,1086872
G3XXA1,1086958
G3XXI3,1086976
G3XXA5,1087003
G3Y7P8,1087018
G3XYA9,1087022
G3XXR5,1087043
G3Y436,1087094
G3XXW8,1087116
G3XZ41,1087246
G3Y092,1087302
G3XZ89,1087307
G3XZJ5,1087361
G3XZN6,1087395
G3XYM8,1087410
G3XZA0,1087412
G3XZQ6,1087449
G3XZV2,1087475
G3Y026,1087507
G3Y076,1087533
G3XZ55,1087547
G3Y051,1087564
G3XZZ2,1087643
G3XZB5,1087680
G3Y084,1087688
G3XYT1,1087728
G3XZQ2,1087866
G3XYP4,1087893
G3Y0C5,1087904
G3XZP5,1087983
G3Y048,1088006
G3YA77,1088007
G3XZE0,1088013
G3Y2E0,1088034
G3Y2M8,1088049
G3Y1B7,1088063
G3Y170,1088070
G3Y130,1088082
G3Y1V9,1088120
G3Y0Y2,1088152
G3Y159,1088187
G3Y380,1088202
G3Y2Q5,1088240
G3Y106,1088248
G3Y0Y3,1088274
G3YGE2,1088308
G3Y3B9,1088338
G3Y2L9,1088344
G3Y0Q2,1088359
G3Y1W9,1088360
G3XMU8,1088383
G3Y1G1,1088385
G3Y0R3,1088447
G3Y1N3,1088448
G3Y289,1088463
G3Y2G5,1088464
G3Y1Z8,1088469
G3Y0P2,1088554
G3Y182,1088648
G3YCX7,1088670
G3Y2U3,1088695
G3Y133,1088697
G3Y0Z9,1088716
G3Y2K8,1088718
G3Y196,1088719
G3Y3G9,1088723
G3Y2M1,1088744
G3Y3N2,1088761
G3Y228,1088787
G3Y141,1088794
G3Y190,1088816
G3Y3F7,1088821
G3Y1T8,1088830
G3Y121,1088872
G3Y2U2,1088889
G3Y172,1088894
G3Y1Z5,1088998
G3Y2J6,1089017
G3Y1V0,1089025
G3Y1B1,1089067
G3Y0U1,1089086
G3Y0P1,1089096
G3Y3P1,1089151
G3Y1X2,1089178
G3Y3I7,1089195
G3Y0Y1,1089213
G3Y1X1,1089215
G3Y229,1089216
G3Y2N1,1089307
G3Y153,1089310
G3Y1A3,1089322
G3XYF4,1089407
G3Y1I5,1089445
G3Y194,1089450
G3Y235,1089474
G3Y2V6,1089475
G3Y2G1,1089481
G3Y2K2,1089497
G3Y1I4,1089519
G3Y1D5,1089520
G3Y0Z7,1089536
G3Y2N6,1089550
G3Y3C9,1089590
G3Y1G0,1089599
G3Y1E5,1089601
G3Y1Z6,1089637
G3Y210,1089686
G3Y3N6,1089700
G3Y377,1089710
G3Y1I6,1089716
G3Y1N8,1089718
G3Y2F0,1089811
G3Y1R2,1089858
G3Y1H8,1089864
G3Y1T0,1089890
G3Y3C8,1089942
G3Y1M5,1090015
G3XNL1,1090099
G3Y0R9,1090123
G3Y3Z0,1090278
G3Y3X0,1090282
G3Y401,1090298
G3XPH1,1090302
G3Y3Y7,1090342
G3Y3Y9,1090354
G3Y3Y2,1090359
G3Y3X7,1090378
G3Y3Q0,1090386
G3Y4E6,1090403
G3YHC3,1090417
G3Y4A9,1090439
G3Y483,1090490
G3Y4C1,1090509
G3Y4U1,1090521
G3Y458,1090530
G3Y4K0,1090543
G3Y4E5,1090577
G3Y415,1090610
G3Y409,1090652
G3YFK0,1090690
G3Y460,1090699
G3Y470,1090707
G3Y4K8,1090724
G3Y4T3,1090752
G3Y422,1090754
G3Y4M8,1090776
G3Y4J8,1090795
G3Y469,1090801
G3Y478,1090839
G3XVX1,1090879
G3Y4A1,1090911
G3Y407,1090917
G3Y4A8,1090956
G3Y489,1091025
G3Y4F4,1091046
G3Y525,1091064
G3Y595,1091112
G3Y569,1091127
G3Y4X3,1091140
G3Y512,1091149
G3Y669,1091168
G3Y508,1091180
G3Y6F6,1091187
G3Y5H0,1091193
G3Y612,1091194
G3Y5M2,1091213
G3Y5N0,1091239
G3Y5H9,1091281
G3Y549,1091288
G3Y540,1091319
G3Y6F2,1091331
G3Y5B7,1091348
G3Y5I9,1091352
G3Y504,1091353
G3Y566,1091354
G3Y590,1091365
G3Y624,1091366
G3Y538,1091371
G3Y5F7,1091375
G3Y4Z7,1091381
G3Y5I4,1091388
G3Y5Y2,1091401
G3Y5C1,1091430
G3Y554,1091434
G3Y4V8,1091435
G3Y4X5,1091445
G3Y5G8,1091478
G3Y519,1091481
G3Y5D9,1091484
G3Y507,1091486
G3Y4Y9,1091497
G3Y5H0,1091501
G3Y4W7,1091515
G3Y5H5,1091552
G3Y5F5,1091593
G3Y5I0,1091603
G3Y4Y5,1091605
G3Y5H1,1091615
G3Y652,1091625
G3Y6D6,1091640
G3Y647,1091649
G3Y5H3,1091675
G3Y4Y8,1091677
G3YHP1,1091692
G3XSR5,1091697
G3XSS0,1091699
G3Y602,1091701
G3Y6F4,1091726
G3Y6A0,1091747
G3Y5R8,1091763
G3Y5I1,1091804
G3Y575,1091817
G3Y4X8,1091847
G3Y5W6,1091848
G3Y631,1091851
G3Y503,1091879
G3Y5W3,1091884
G3Y568,1091933
G3Y5A2,1091937
G3Y673,1092015
G3Y693,1092068
G3Y698,1092091
G3Y5Q2,1092101
G3Y509,1092150
G3Y5A3,1092155
G3Y6Y5,1092234
G3Y704,1092258
G3Y6P6,1092266
G3Y6I7,1092334
G3Y706,1092335
G3Y6W5,1092342
G3Y6Y4,1092377
G3Y6Q4,1092385
G3Y6Z0,1092409
G3Y6M1,1092464
G3Y6Q3,1092478
G3Y6V1,1092548
G3Y6X7,1092554
G3Y6P8,1092576
G3Y736,1092608
G3YF06,1092631
G3Y8E5,1092662
G3Y1Y1,1092757
G3Y8D4,1092775
G3Y824,1092777
G3Y7L2,1092798
G3Y7Z3,1092801
G3Y8E9,1092805
G3Y7L3,1092814
G3Y8I9,1092817
G3Y7C5,1092818
G3Y7Z4,1092819
G3Y711,1092844
G3Y7M5,1092851
G3Y835,1092955
G3Y8H3,1092961
G3Y870,1092992
G3Y7L1,1093000
G3YD79,1093015
G3Y8D1,1093024
G3Y861,1093039
G3Y8J3,1093047
G3Y7U5,1093051
G3Y7M7,1093087
G3Y766,1093088
G3Y7P3,1093106
G3Y7T3,1093142
G3Y7J4,1093154
G3Y816,1093157
G3Y8D2,1093159
G3Y7Q1,1093171
G3Y7A6,1093189
G3Y8J2,1093214
G3Y7Z9,1093220
G3Y7V2,1093232
G3XUY2,1093238
G3Y808,1093267
G3Y7E4,1093272
G3Y845,1093298
G3Y7G8,1093394
G3Y7N2,1093411
G3Y7Z1,1093486
G3Y7T1,1093527
G3Y740,1093551
G3Y7E3,1093552
G3YCR7,1093586
G3Y7T7,1093593
G3Y7B8,1093605
G3Y7J3,1093613
G3Y7K1,1093671
G3Y7A4,1093695
G3Y7M2,1093704
G3Y8H5,1093706
G3Y7N3,1093716
G3Y7Q5,1093742
G3YB71,1093749
G3Y7D6,1093761
G3Y9D7,1093774
G3Y996,1093781
G3Y8V5,1093797
G3Y961,1093821
G3Y9J3,1093845
G3Y8L2,1093868
G3Y9A8,1093873
G3Y9F4,1093897
G3Y8P3,1093915
G3Y9F9,1093926
G3Y9M7,1093950
G3Y902,1093955
G3Y8Z4,1093983
G3Y9N0,1094021
G3Y8L7,1094051
G3Y9Q8,1094067
G3Y9W8,1094071
G3Y8T1,1094101
G3YA60,1094131
G3Y9C5,1094140
G3Y8W5,1094142
G3YA72,1094231
G3Y9Y3,1094270
G3Y954,1094282
G3YA22,1094296
G3Y9C9,1094413
G3Y9T8,1094522
G3Y9N2,1094535
G3Y9A9,1094559
G3Y930,1094578
G3Y9J2,1094582
G3Y8U6,1094629
G3Y8P6,1094711
G3Y8U2,1094747
G3Y9X1,1094770
G3Y9J0,1094806
G3YA38,1094813
G3YA92,1094871
G3YA84,1094872
G3YAM8,1094975
G3Y4H9,1094988
G3YAP3,1095014
G3YAJ4,1095023
G3Y5L2,1095042
G3YAI8,1095043
G3YAJ8,1095079
G3YAI9,1095090
G3YB20,1095149
G3YCT6,1095186
G3YD20,1095195
G3YAX0,1095206
G3YB17,1095213
G3YBT6,1095238
G3YCP6,1095243
G3YB15,1095273
G3XTV4,1095295
G3YD16,1095309
G3YAZ0,1095328
G3YCY0,1095361
G3YD36,1095450
G3YD74,1095452
G3YB05,1095459
G3XSG1,1095462
G3YBW0,1095464
G3YAW1,1095465
G3YCC2,1095472
G3YB68,1095495
G3YCJ5,1095496
G3YB16,1095512
G3YAZ1,1095521
G3YAV6,1095536
G3YBM1,1095552
G3Y5N9,1095575
G3YBD7,1095585
G3YD46,1095596
G3YC75,1095617
G3YBN0,1095640
G3YCL3,1095681
G3YD56,1095685
G3YBM4,1095688
G3YBR5,1095735
G3YB29,1095770
G3YAV1,1095813
G3YAS9,1095833
G3YBJ6,1095838
G3YAZ9,1095846
G3YB37,1095881
G3YE57,1095900
G3YCQ9,1095909
G3YAQ3,1095920
G3YCP1,1095932
G3YC49,1095963
G3YB26,1095998
G3YAY6,1096064
G3YB18,1096102
G3YB64,1096150
G3YC53,1096162
G3YBE7,1096169
G3YC57,1096190
G3YCI1,1096235
G3YBB7,1096246
G3YBY3,1096267
G3YBV2,1096315
G3YBK1,1096316
G3YCA2,1096325
G3YD35,1096348
G3YAU5,1096350
G3YCG5,1096374
G3YD30,1096378
G3XN47,1096407
G3YCK3,1096427
G3YCP0,1096433
G3YCJ4,1096493
G3YAZ5,1096529
G3YD32,1096565
G3YCY8,1096574
G3YBV8,1096576
G3YB96,1096615
G3YBE5,1096641
G3YBY8,1096658
G3YBN4,1096664
G3YBV4,1096672
G3YBZ5,1096688
G3YB84,1096696
G3YC58,1096697
G3YD15,1096715
G3YB47,1096767
G3YB73,1096773
G3YD50,1096775
G3YBP1,1096814
G3YBB6,1096818
G3YC51,1096831
G3YBH7,1096858
G3Y0D9,1096884
G3YCD4,1096903
G3YCL5,1096905
G3XX51,1096952
G3YDW6,1096973
G3YEC6,1096990
G3XW30,1097031
G3YEL4,1097081
G3YDV6,1097149
G3YDJ3,1097154
G3YDR1,1097160
G3YDU0,1097205
G3YEM9,1097213
G3YEC2,1097233
G3YDC6,1097236
G3YEH2,1097239
G3YE57,1097262
G3YE01,1097310
G3YEG7,1097355
G3YD85,1097387
G3YDB1,1097425
G3YE69,1097468
G3YEA7,1097480
G3YD86,1097525
G3YEH0,1097628
G3YED6,1097644
G3YDQ6,1097651
G3YDK0,1097660
G3YDT9,1097662
G3YH52,1097707
G3YGF5,1097722
G3YFA4,1097732
G3YH51,1097752
G3YHM2,1097858
G3YF43,1097878
G3YF70,1097894
G3YFE2,1097896
G3YF16,1097900
G3YGY1,1097957
G3Y6P6,1097984
G3YGX9,1097989
G3YGK8,1097990
G3YHM7,1097995
G3YGQ9,1097996
G3YF61,1098004
G3YF24,1098005
G3YH00,1098042
G3YH48,1098055
G3YFE1,1098061
G3YGL4,1098112
G3Y1E2,1098126
G3YGX8,1098133
G3YFW7,1098157
G3YHC7,1098182
G3YFC8,1098193
G3YGY3,1098205
G3YFX3,1098227
G3YGZ8,1098230
G3YFD5,1098266
G3YFD3,1098323
G3YGW6,1098329
G3YEX8,1098334
G3YGV4,1098348
G3YGY2,1098363
G3YGW7,1098399
G3YH22,1098408
G3YFB4,1098431
G3Y653,1098467
G3YF62,1098470
G3YFB3,1098482
G3YF33,1098487
G3YHG2,1098490
G3YFX9,1098549
G3XW96,1098614
G3YG29,1098624
G3YGC8,1098626
G3YH54,1098641
G3YF87,1098652
G3YF60,1098680
G3YF56,1098689
G3YGP7,1098722
G3Y5K8,1098737
G3YFY3,1098752
G3YGY4,1098758
G3YHF1,1098784
G3YGI8,1098822
G3YGZ9,1098850
G3YGJ7,1098859
G3YF69,1098874
G3XT97,1098896
G3YF91,1098992
G3XU90,1098995
G3YFL4,1099026
G3YFJ3,1099034
G3YG20,1099044
G3YGV5,1099069
G3YGQ7,1099084
G3XXS6,1099124
G3YHN8,1099140
G3XW51,1099142
G3Y977,1099155
G3XQH1,1099159
G3YHQ3,1099165
G3Y5C8,1099166
G3XLY5,1099191
G3XM01,1099202
G3XM32,1099239
G3XXS0,1099252
G3XM37,1099253
G3Y5X2,1099259
G3XM74,1099291
G3XMB1,1099314
G3XME0,1099332
G3XMH8,1099368
G3XMJ0,1099380
G3XMK7,1099409
G3XMK9,1099411
G3XML8,1099424
G3XMM3,1099433
G3XMQ9,1099478
G3XMR3,1099484
G3XMT3,1099509
G3XMT7,1099512
G3XMU0,1099521
G3XMU5,1099531
G3XMY2,1099580
G3XMY5,1099585
G3XMZ2,1099593
G3XLH3,1099636
G3XLH8,1099645
G3XLJ4,1099671
G3XLL0,1099685
G3XLL5,1099701
G3XLM4,1099711
G3XLN2,1099729
G3XLR1,1099761
