rxn,SF ABF93_1-R1,SF ABF93_1-R2,SF ABF93_1-R3,SF ABF93_10-R1,SF ABF93_10-R2,SF ABF93_10-R3,SF ABF93_11-R1,SF ABF93_11-R2,SF ABF93_11-R3,SF ABF93_12-R1,SF ABF93_12-R2,SF ABF93_12-R3,SF ABF93_13-R1,SF ABF93_13-R2,SF ABF93_13-R3,SF ABF93_14-R1,SF ABF93_14-R2,SF ABF93_14-R3,SF ABF93_15-R1,SF ABF93_15-R2,SF ABF93_15-R3,SF ABF93_16-R1,SF ABF93_16-R2,SF ABF93_16-R3,SF ABF93_17-R1,SF ABF93_17-R2,SF ABF93_17-R3,SF ABF93_2-R1,SF ABF93_2-R2,SF ABF93_2-R3,SF ABF93_3-R1,SF ABF93_3-R2,SF ABF93_3-R3,SF ABF93_4-R1,SF ABF93_4-R2,SF ABF93_4-R3,SF ABF93_5-R1,SF ABF93_5-R2,SF ABF93_5-R3,SF ABF93_6-R1,SF ABF93_6-R2,SF ABF93_6-R3,SF ABF93_7-R1,SF ABF93_7-R2,SF ABF93_7-R3,SF ABF93_8-R1,SF ABF93_8-R2,SF ABF93_8-R3,SF ABF93_9-R1,SF ABF93_9-R2,SF ABF93_9-R3
r5a,1.1396969244921806,1.112888789438353,1.1838094527734266,0.9009783446458317,0.8832575022997937,0.8549638248676065,0.6235797220357524,0.565531687426966,0.8005022252057382,1.2092439273016582,0.9742982521568335,1.107555754456627,0.7912906193282117,0.867911041495736,0.9617550533303497,0.8954837025434474,0.8460692175729095,0.8830772482036746,1.0050533303498173,1.065258198453544,0.8100805549339897,1.122796549066408,1.021095944904403,0.8833134432261754,0.9170023122249572,1.0042080007956042,0.946725591109122,0.7782998930906739,0.7335036423758732,0.6602956167176351,0.7086285771114592,0.9374704756221874,0.9840133263717958,0.9727816314860397,0.9343750776957311,1.0709703886029687,0.8777069192710276,0.9049998756868302,0.8847243977026925,0.9243554362149126,0.703842520076577,0.8074575470525348,0.9877924467318067,1.0537157206434449,1.0,1.1082892021580766,1.1527435916561,1.0181372914646578,0.9361403247059993,0.7493038462494717,0.9369732229432385
r7,1.8611838658983761,1.478981141959141,1.715819800942902,1.2747511786275536,1.071634363541121,1.1494892613933998,1.0311026715557885,0.8501833420639079,1.2051466736511263,1.2623101100052385,1.0988737558931378,1.2175222629649032,1.1009690937663699,1.2327134625458354,1.2189628077527501,1.0449842849659507,0.9879518072289156,1.0863017286537453,1.0069408067050811,0.9186092194866422,1.0011786275536931,1.0940937663698274,1.1547930853850183,1.0287454164484022,1.4619565217391304,1.1864850707176533,1.1953902566788894,0.9329491880565741,0.9584206390780514,0.8844944997380828,1.2030513357778942,1.1462152959664746,1.5154531168150864,1.1709009952854899,1.0371267679413305,1.3041513881613411,1.0736642221058146,1.0185961236249346,1.0815872184389732,1.0141435306443163,1.1299764274489261,1.1650078575170246,1.169460450497643,1.161930330015715,1.0,1.2298978522786799,1.2216474594028288,1.2154269250916712,0.9903745416448403,1.1180591932949189,1.1036537454164486
r8,1.8611838658983761,1.478981141959141,1.715819800942902,1.2747511786275536,1.071634363541121,1.1494892613933998,1.0311026715557885,0.8501833420639079,1.2051466736511263,1.2623101100052385,1.0988737558931378,1.2175222629649032,1.1009690937663699,1.2327134625458354,1.2189628077527501,1.0449842849659507,0.9879518072289156,1.0863017286537453,1.0069408067050811,0.9186092194866422,1.0011786275536931,1.0940937663698274,1.1547930853850183,1.0287454164484022,1.4619565217391304,1.1864850707176533,1.1953902566788894,0.9329491880565741,0.9584206390780514,0.8844944997380828,1.2030513357778942,1.1462152959664746,1.5154531168150864,1.1709009952854899,1.0371267679413305,1.3041513881613411,1.0736642221058146,1.0185961236249346,1.0815872184389732,1.0141435306443163,1.1299764274489261,1.1650078575170246,1.169460450497643,1.161930330015715,1.0,1.2298978522786799,1.2216474594028288,1.2154269250916712,0.9903745416448403,1.1180591932949189,1.1036537454164486
r10,3.461783721548136,2.022602072447082,2.5020281640244444,0.978053316800992,0.9111327606057923,1.0205119121424144,1.0707288991231956,1.0406695598264106,1.1719599681161987,1.1908068373040475,0.8835355592950138,1.0331768665308654,0.9415109379151537,1.1393853511646443,1.1522805774510672,0.8663183066158888,0.8610929058542202,0.9578248162253122,0.7564608980604022,0.8168807014436276,0.7746169515543354,0.8916305021698698,1.0232928881409973,0.8793906651315208,1.337702594987158,0.9533256576034009,1.0871490567708795,1.1253919050571253,1.0884598352670267,1.1770436630945,1.3323354884421221,1.1783898680364895,1.370135506155345,1.0361526879815783,0.9082809317155256,0.9965813479762643,0.8312815516783278,0.812877513063502,0.8484102382428483,0.8214861394030644,0.9992914710831636,0.8882295633690549,0.956691169958374,0.8908156939155081,1.0,1.076149145336994,1.0682490479142681,1.0751217784075813,1.004941989194934,1.1350456115490213,1.187299619165707
r12a,1.4997353622229572,1.2781453302458925,1.2193626640202888,0.8384937699856655,0.935880471937369,0.84126144007057,0.7916308303010255,0.9157349211599954,1.0064725989635022,1.1585841878928218,0.9535891498511413,1.1662035505568418,0.989535781232771,0.8615723894585953,0.9263314588157459,0.9267945749255707,0.838482743411622,0.9100893152497519,0.8179622891167715,0.9121623111699194,0.7223508655860624,0.89801521667218,0.909670305436101,0.9105193516374462,1.0153710442165618,1.0202668430918511,0.9458043885764693,0.8248759510420112,0.7974528613959643,0.7751240489579887,0.8144778917190428,0.9000661594442606,0.9310839122284706,0.8869555629066048,0.9024809791597751,0.8598191641856874,0.8005072224059985,0.8170581100452088,0.8321534899106847,0.8037269820266842,0.8626971000110265,0.7457272025581652,0.8965156026022715,0.9437754989524755,1.0,0.9802403793141469,1.0619031866798985,0.9888852133642078,0.8353070900871099,0.8187451758738559,0.8544381960524864
r13a,2.3785263484618566,2.374189543385295,2.168635329010898,1.1062905228307354,0.938112153400469,1.1308283901227756,1.031650917367913,1.1713425989791697,0.7893243895709753,0.6291385018623259,1.038893295626983,1.32309628914333,1.3456942336874052,1.2262639674437854,1.187836253276314,0.9778762587943164,1.0508432197544488,1.0931162919023312,1.1004707545868395,1.1509259897916952,0.9799196440888398,1.0318664643399091,1.0237877638294937,1.2425679404055732,1.5297713477721067,1.2648727410677334,1.2794954476479514,1.5017071320182094,1.4519761346392606,1.3201820940819422,1.2557939026072562,1.327855566285005,1.3866309146089117,1.1464512346530558,1.102574493033522,1.2087270658021796,0.9903952269278522,0.9900503517726584,1.0177696923713615,1.0022503103876397,0.9071682301007036,0.8341409159884122,1.1504862739688233,1.3751379500620775,1.0,1.563336322251345,1.3604979997241,1.24274899986205,1.1425110360049662,0.9629172989377845,1.0050437991447096
r14,0.9748507573847882,0.9617655315443318,1.31978309691317,1.1050570616678508,0.8890720604074525,1.0186667850677178,0.9308986639778171,1.1639591974700367,0.760457008960286,0.8144879918417858,1.2589430987464767,0.9686332699314801,1.0262062584503977,0.8927601576643674,1.123024898595229,1.0169666796525885,0.928343492907395,1.028785778124069,1.140106159910168,1.0371130004354103,1.0674184178564063,1.2780338359648924,1.1076838462772418,1.008530604762014,0.784079450924674,1.1423849027201687,0.8995376629924148,0.8219300708114673,0.9244878199692922,0.9734485642917707,1.0640468524417352,1.2287250498430233,0.9410047665971538,1.082560384536059,1.0477562045970163,1.0098439970667095,0.9519086440406077,1.137016751839036,1.1528218598895434,0.9565420400119165,1.0362092375736187,0.9613945734124711,1.0393416137681326,0.9834744597474621,1.0,1.2372313060017874,1.323515594564246,1.3843856704173065,1.1314982125260673,1.1707295414441874,1.1325423379242385
r15,1.882647596469681,1.457413384364914,1.3331095941275601,0.912681014538288,1.08261332152752,0.8118127160035418,1.0420546399702952,1.1834173545457143,1.001756590785753,0.9387085487418241,1.0323255548256263,1.464500442718003,1.2295742766559083,0.9527541344148983,1.128841649767216,1.1361679186541374,1.0088793522035933,1.017351689469024,1.0586244323212706,1.1763695695638512,0.9948123446916685,1.0731055953843078,1.046192625174945,1.1155886721316157,1.2686191482676874,1.1928893776241754,1.2026398846076949,0.8956399417325983,1.1969238239410471,0.8571270457856102,0.9453171860272487,0.9091821141926824,0.9979970580674645,0.8845291479820627,0.8824512296135502,1.043536317157465,0.9024699380194796,0.9338207991774015,0.9217817257433378,0.8786631344434607,1.0186155779612123,0.7713504327211449,1.0489203393219275,1.3069820913427208,1.0,1.3034867613035903,1.2408457341978236,1.281193767673017,0.97152323555454,1.016187769558139,0.9630044843049328
r16a,1.5489444813053106,1.5487295461129436,1.2440916184619983,0.7260230447906251,0.7758319393695857,0.7255090693306171,1.0130269416591127,0.9350708818884393,0.7025670737975311,0.8021755179470886,0.9530693679970844,1.0783859301554077,1.067498995411601,0.7081927688325281,0.9630404919212403,0.8125952022727061,0.7596463848835144,0.7403489426123036,0.7685802128792906,0.8681325869786652,0.6642805745311141,0.8195105084619051,0.7146034445700828,0.8903269818426487,0.8348363221785083,0.967825136203497,0.8311076638413591,0.8381724901643788,0.7402554925286657,0.5995944266370118,0.7366202842751545,0.8109691708174079,0.860497715145455,0.889971871524825,0.8192862282611743,0.7936809053444103,0.6877458905325721,0.7645151342410452,0.7038193049182779,0.6312646599818708,0.7030903942659028,0.5839602276444037,0.9446868954947714,0.999317814389444,1.0,0.9356596174153575,0.8387051556411144,0.8614322159818333,0.7899429019988973,0.7002308217065855,0.7258267996149856
r17,0.44183774039474016,0.7734034756677982,0.805489802966869,0.7515857839627329,0.6942279990902275,0.7185433531854671,0.5326591470040687,0.787226962960467,0.8912400704231284,0.8453807987465356,0.9031260793018339,1.0014994398160237,0.9144603280235192,0.6966035161021303,0.7743300957788242,0.7983674638407561,0.7533253026257043,0.6967214495708064,0.9061375946626681,0.9156691460774484,0.6738297209188702,1.064109475954208,0.9269191566072225,0.9728079116509842,0.6467808374961039,0.9625013688706185,0.751910101001592,0.682746333532697,0.7814903420912972,0.6920672894676989,0.7940249850477209,0.9437541592607255,0.7826781005972487,0.8411394057837942,0.8641996108195533,0.8044620970255495,0.7904701333490577,0.9041032423280068,0.8878284236507147,0.7384698974821204,0.7291615772759054,0.6681015238688917,0.8040114226988231,0.8360514189923427,1.0,1.0972740521097455,0.9570258863963743,0.9993976969278331,0.7585059514282584,0.7557766340103275,0.6820850637261922
